ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,COmax,meansigv,errsigv,ellipse a,ellipse b,ellipse R,errR,area,perimeter,mass from summing mom0
32,2,663,1648,11,399,1153,11.08054829,14.17213283,0.6882409986,13.06325785,7.97519866,nan,5.746314468,889.6583238,152.308923,307089.47
33,1,762,1669,13,3738,22642,19.6638546,48.07194868,2.441974391,55.1496297,15.72030032,44.50372293,43.60744255,8334.69377,654.032434,9150815
34,2,762,1669,13,1758,7109,19.6638546,17.04006647,0.7226127439,27.70095815,17.06290657,30.63780446,12.71382693,3919.847953,340.4552396,5213297.5
35,1,685,1613,24,7551,42792,23.88297844,39.52478774,1.750564366,25.16315185,95.55197328,77.73666729,72.29888565,16836.61655,1078.108259,30649308
36,1,649,1708,14,1766,10026,16.21398735,33.67680882,1.664312849,13.73778146,28.23320011,26.73219974,14.9804782,3937.685714,391.2248806,6316667.5
37,2,649,1708,14,1499,8009,16.21398735,24.22130199,1.092349181,13.91699152,30.46241682,28.45973149,14.85298216,3342.350444,358.3739364,5209220.5
38,2,508,1863,13,886,3186,11.49380112,17.61109601,0.8381116524,9.002319129,18.22891939,11.10675727,7.29965451,1975.532017,271.7669018,666916.3
39,2,450,1910,13,441,950,6.78191185,8.681564565,0.3748017063,9.664607616,15.27067946,8.928335439,12.42775488,983.3065684,158.2818219,nan
40,2,474,1955,13,847,2359,7.256030083,12.28530527,0.5699743414,16.8144694,13.61551286,17.16616661,6.186723866,1888.572933,244.8888566,nan
41,1,1315,1341,43,127775,986862,28.44033241,126.7774609,6.154019994,20.83443477,30.96185785,37.33970735,5.048549749,284902.487,10425.6951,334557500
42,1,1119,1357,33,68692,486212,20.65579987,69.5192617,2.910931979,146.8797028,62.26376696,154.4500558,61.58511209,153163.9338,5223.300124,193627680
43,1,1315,1341,43,105460,794717,28.44033241,124.7971618,6.024520613,19.95250206,30.85753912,36.28499762,9.825295797,235146.2828,8311.288876,287161300
44,1,1119,1357,33,56873,385485,20.65579987,67.94110603,2.869734029,135.5955242,59.31115725,144.7080482,55.08915597,126810.8718,4760.400456,162108400
45,2,1268,1492,16,293,622,9.678583145,13.97494786,0.6404638324,9.887960269,6.055859103,nan,2.724670952,653.3079921,137.3766756,226405.94
46,1,1119,1357,33,53290,348109,20.65579987,67.96954219,2.872634812,137.4982888,59.98237089,146.5690529,59.79936329,118821.7846,4676.779871,150011900
47,1,1315,1341,43,89925,678551,28.44033241,124.1520515,5.947582479,19.68262881,30.68645149,35.85663836,6.965937391,200507.5809,6919.603423,248881360
48,1,1315,1341,43,126319,982205,28.44033241,126.6980198,6.135212199,20.80808561,30.94126609,37.29565497,4.99465096,281656.0145,10058.36182,333980260
49,2,1245,1502,12,283,365,7.321114063,5.157783707,0.1862915726,7.771969182,9.601626911,nan,2.520868496,631.0107911,146.336024,119447.45
50,2,1154,1802,13,648,669,8.305884361,nan,nan,22.88598392,8.623953663,14.53472625,7.13640259,1444.858631,250.8617555,nan
51,2,1137,1882,14,402,407,6.42744112,nan,nan,20.63468658,12.41034863,19.14175272,9.957592599,896.3474841,179.1869682,nan
52,1,1119,1357,33,50221,331529,20.65579987,63.07518418,2.72043197,136.2715754,59.04957629,144.7486829,61.70830023,111978.7736,4234.785349,144391170
53,1,1119,1357,33,53035,344472,20.65579987,63.05357845,2.721208059,136.1658841,59.70481257,145.5041003,70.14963089,118253.206,4685.739219,148779620
54,1,1119,1357,33,46639,290405,20.65579987,60.00990055,2.633780184,136.8726993,57.00001107,142.4946181,58.56817815,103991.9162,4500.579352,130053240
55,1,1119,1357,33,44010,280475,20.65579987,59.98325517,2.627473694,136.7034714,57.16218326,142.6106858,62.8892113,98129.98203,3918.221705,126827336
56,1,1119,1357,33,38286,215260,20.65579987,59.95330252,2.612596281,137.6638277,53.88051505,138.8853275,69.78581139,85367.06412,3745.007636,102521140
57,1,1119,1357,33,37211,208325,20.65579987,59.79687584,2.586507716,136.2536024,53.48003201,137.6378307,40.50786135,82970.115,3556.861319,99385790
58,1,685,1613,24,4812,23150,23.88297844,29.98408325,1.197253936,21.40987463,39.76120906,44.0355851,10.66106787,10729.41317,758.5581655,19667894
59,2,1311,1547,17,1476,3826,11.40763378,11.74856373,0.5030019504,37.85903872,15.19454657,34.78159885,16.94025468,3291.066882,382.2655322,1502560
60,1,1338,1596,18,1179,3112,11.04652882,13.20538472,0.5061558614,13.00781985,30.03475871,26.87146581,9.127935567,2628.840009,352.4010375,nan
61,2,1338,1596,18,701,1810,11.04652882,13.09224622,0.4843183882,14.33789401,12.3726867,12.58936289,3.068349124,1563.033797,215.0243619,nan
62,2,1151,1655,17,1098,1984,9.007079124,8.129903691,0.2659494495,12.44708344,20.70743759,19.25622973,10.85205008,2448.23268,340.4552396,nan
63,2,633,1668,18,253,389,8.302096367,7.238405571,0.3640026722,6.345557104,8.307349867,nan,1.435528955,564.1191878,128.4173272,74317.57
64,2,1169,1888,18,884,1414,6.854310989,8.662650751,0.3718183478,11.13972124,22.83401479,19.02272958,13.4330251,1971.072577,244.8888566,nan
65,2,1213,1418,22,558,1419,8.346806526,15.82179492,0.7464104317,28.84472919,7.09881611,15.19211942,11.18769869,1244.183821,232.9430587,359938.72
66,2,562,1934,18,1336,2669,6.501004696,15.8980205,0.7661657991,18.94410131,9.010884645,11.86596302,9.127143,2978.906067,427.0622743,nan
67,2,1355,1467,19,287,646,9.031352043,6.468455771,0.1956504918,11.65991315,8.182675967,nan,3.589012334,639.9296715,116.4715293,265477.75
68,1,1119,1357,33,32626,162616,20.65579987,41.94744905,1.958128002,139.5223027,56.89617446,143.7550101,68.0589901,72746.8483,3320.931811,80940184
69,1,1119,1357,33,29709,142943,20.65579987,41.91830238,1.950296325,137.2305092,54.09871188,138.9480576,36.24941686,66242.75474,3311.972463,72822910
70,1,1276,1478,24,2282,8000,16.90164375,21.84819046,0.9015456763,19.96015285,23.10596798,30.13956095,7.101922298,5088.22129,480.8183647,5931961
71,1,1119,1357,33,28195,132993,20.65579987,41.91252331,1.94892553,130.9434989,50.46008177,130.9537508,35.25235299,62866.95849,3267.175721,68559710
72,2,1279,1432,20,371,827,14.56726551,6.721457572,0.2414751708,8.458678107,12.5634497,nan,5.371854355,827.2261607,140.3631251,501716.94
73,1,1364,1492,25,698,2222,9.610725403,19.15124371,0.8812716952,12.48830004,7.661096164,nan,7.862592729,1556.344637,262.8075534,825121.06
74,2,1378,1489,22,310,667,8.543329239,8.669166716,0.3711821901,18.40534697,6.295110457,nan,74.68787227,691.213234,164.2547209,196415.48
75,2,1276,1478,24,1798,6579,16.90164375,16.89296907,0.6879665066,19.54747853,22.72734857,29.38777721,7.195454221,4009.036757,394.2113301,5120415.5
76,2,1344,1638,20,230,392,7.04018116,5.128219939,0.1775853,5.578518017,12.77999698,nan,4.359464444,512.8356252,128.4173272,nan
77,2,811,1685,28,793,4372,15.19547939,29.15462388,1.266637559,15.22941197,10.69713334,10.96410938,6.915652345,1768.168047,235.9295082,nan
78,2,1220,1609,23,1748,4985,10.31597042,13.94297052,0.629504314,22.15096774,14.69805027,23.4527221,9.70351269,3897.550752,358.3739364,nan
79,2,750,1632,23,204,466,9.711098671,8.58911953,0.3538581262,6.444307293,8.439564914,nan,1.016514391,454.8629024,116.4715293,162356.6
80,2,514,1900,21,250,516,10.26200867,6.987163901,0.2985141232,8.061081635,8.481987071,nan,1.165158468,557.4300274,122.4444283,150003.08
81,2,1822,290,25,4761,15760,6.741754532,34.13604453,1.761639766,17.08944362,21.73010302,25.90357848,9.043985684,10615.69744,785.4362107,nan
82,1,1822,290,25,8557,26973,6.741754532,34.15035718,1.761772617,17.08148005,21.74649516,25.90903289,9.138346016,19079.71498,1299.10552,nan
83,1,1119,1357,33,26060,120941,20.65579987,37.99002765,1.688431813,46.32116609,89.39422359,103.1082953,46.2201301,58106.50606,3028.259763,60810244
84,2,685,1613,24,1709,6435,23.88297844,15.46434609,0.6936292448,20.98140674,21.7189017,29.89724976,2.071610996,3810.591668,456.926769,8952819
85,2,1458,1742,25,2624,6273,8.888460159,13.76562238,0.6094295619,23.24156164,64.09722881,60.21718882,22.09939691,5850.785568,743.6259181,nan
86,2,634,1708,24,502,1607,13.30575275,12.28047088,0.5641717836,9.558607078,16.23994279,9.995943949,6.963556891,1119.319495,182.1734177,904218
87,1,1119,1357,33,20229,98182,20.65579987,34.91019095,1.623448052,47.98870255,93.1779213,107.2613447,45.41712762,45105.0081,2048.704337,48125620
88,1,1119,1357,33,17564,78084,20.65579987,34.97611825,1.640586532,43.10922481,85.08912288,96.86191613,42.22223004,39162.80401,2233.864204,39097024
89,1,1119,1357,33,9309,37285,20.65579987,31.48599411,1.46663185,40.54603584,73.54268214,86.99933282,28.5198361,20756.4645,1618.655613,19422288
90,1,1119,1357,33,8729,35726,20.65579987,31.46264032,1.461430343,40.55267071,73.6598367,87.07885436,26.98889848,19463.22684,1430.509296,18685060
91,1,1119,1357,33,11305,47380,20.65579987,33.33682887,1.578968951,37.15384089,79.41536546,86.52303379,45.75086306,25206.98584,1812.774828,24438022
92,1,1119,1357,33,5279,19541,20.65579987,30.00091197,1.444608495,40.13668069,28.55565196,52.1365688,15.73767447,11770.69246,961.6367295,10293094
93,2,1119,1357,33,3611,12667,20.65579987,30.04146467,1.457034393,39.43513416,27.89035618,50.95058724,18.35631596,8051.519316,701.8156255,7022990.5
94,2,1198,1553,26,792,1246,7.858875275,7.31708442,0.3848306905,15.80364338,13.19551249,15.51683162,12.63738603,1765.938327,292.6720481,nan
95,2,1536,2064,24,286,419,6.567413807,5.066029924,0.1661328848,6.408507922,13.14282574,nan,8.16567019,637.6999514,137.3766756,nan
96,1,576,1488,40,9069,27834,9.499456406,35.46667957,1.750130678,40.15883008,99.54722581,101.2575033,35.67160081,20221.33168,1317.024216,nan
97,2,1169,1434,30,1465,6362,19.24252319,22.5242287,1.018117401,21.23405114,20.35110517,28.83748249,2.399049138,3266.539961,340.4552396,3726635
98,2,1364,1492,25,324,956,9.610725403,10.35316046,0.4535177731,12.32946336,8.328039536,nan,10.29210153,722.4293156,134.3902262,422113.16
99,2,1413,1491,29,988,3224,12.03242302,14.62997715,0.5716631174,20.24728218,11.31016324,17.17097175,3.797430331,2202.963468,241.9024071,nan
100,2,1557,795,29,423,759,6.451182365,12.51248665,0.6272925732,4.775965223,15.88305172,nan,10.04274306,943.1716064,179.1869682,nan
101,2,556,1384,29,2221,6493,8.476506233,19.13625959,0.8896058481,19.90971516,28.87699017,34.76950698,8.239271788,4952.208364,430.0487237,nan
102,1,564,1821,37,15181,80921,10.98528385,48.32112725,2.142942264,86.87030135,72.53973197,127.8306091,28.88443261,33849.38099,2018.839842,nan
103,1,1059,445,40,128846,838179,17.75162125,81.32640709,3.706531436,133.6964791,380.5208928,366.2207845,304.1412451,287290.5173,11238.00936,249786990
104,2,509,1353,28,605,1434,6.857194424,10.29279966,0.4314577789,12.75549136,15.40215399,14.45217256,5.137185681,1348.980666,197.105665,nan
105,2,1339,1369,27,357,578,9.447940826,4.999439401,0.1523447971,15.69695502,8.210798686,5.504689076,11.01645553,796.0100792,131.4037767,242264.02
106,2,1341,1522,26,408,656,9.700159073,5.374184457,0.2396208677,8.85301402,14.12587909,4.492977893,20.26010315,909.7258048,182.1734177,197121.64
107,2,1369,1530,28,837,1648,9.984892845,10.31383222,0.4321526216,11.74027035,14.93018506,12.36553629,6.093032653,1866.275732,262.8075534,nan
108,2,663,1646,28,413,685,16.1119175,6.997690107,0.3002978561,6.764254873,14.47475715,nan,14.73573708,920.8744053,203.078564,692148.5
109,2,674,1719,28,261,705,7.804933548,10.36439864,0.4445816934,7.865069031,13.12997937,nan,6.095202722,581.9569486,137.3766756,182141.47
110,1,564,1821,37,8387,42201,10.98528385,39.96037641,1.824582473,30.22972184,56.26493218,64.68425056,22.96826452,18700.66256,934.7586842,nan
111,1,564,1821,37,10237,49242,10.98528385,40.13441156,1.860726716,30.88973825,77.15437613,77.37705393,24.1187417,22825.64476,1281.186823,nan
112,1,1059,445,40,115437,694116,17.75162125,75.08989108,3.526830521,125.2415941,361.9534619,345.6471516,323.0955229,257392.2003,11629.23424,218746700
113,1,1059,445,40,114929,692556,17.75162125,75.08900988,3.526386758,124.8624379,361.8596565,345.0773472,323.1704127,256259.5025,11494.84401,218405300
114,1,1419,754,35,13051,37681,8.804850578,29.40819343,1.31182264,97.77898626,84.13429579,146.3804736,36.46577041,29100.07715,2565.360095,6275357
115,1,1419,754,35,14704,41986,8.804850578,29.41059809,1.31331185,97.81652178,84.61951759,146.8366472,35.80596067,32785.80449,2702.736771,nan
116,1,1419,754,35,7470,21516,8.804850578,22.44221254,0.989516091,29.76753001,83.26102128,78.98576606,23.34838807,16656.00922,1337.929363,nan
117,2,1447,838,30,826,1611,6.758997917,8.706970947,0.3908586091,11.02050958,21.40750204,17.69551815,7.830708831,1841.748811,244.8888566,nan
118,2,1132,1395,29,430,850,16.215065,8.689821125,0.3803908226,14.63871419,10.58832663,9.965266871,9.951153323,958.7796472,164.2547209,350938.94
119,2,1235,1450,29,751,1136,12.6860714,7.056948668,0.3154107639,27.48818173,9.216686512,18.95213162,6.088054501,1674.519802,289.6855986,733309.2
120,1,1338,1463,30,5043,16120,17.9478054,18.82154215,0.8039967517,64.81061476,40.75723746,81.66716234,25.70909906,11244.47851,967.6096284,9714163
121,1,1338,1463,30,3942,12469,17.9478054,18.79808778,0.7977644262,28.65538989,52.815702,60.73570347,26.05021437,8789.556673,686.8833782,7914928.5
122,1,1185,1497,35,1547,3886,11.33988953,19.30939112,0.9037881024,39.67406706,14.03012305,34.06702124,23.89023177,3449.37701,367.3332849,nan
123,2,1177,1506,27,612,1121,11.24817562,7.044296779,0.3135384475,11.49827973,10.17978196,nan,33.59251462,1364.588707,194.1192156,nan
124,2,1789,303,36,3988,11018,6.730285645,20.88243798,0.9584820682,51.09561056,32.67028814,64.03629091,25.74600853,8892.123798,752.5852665,nan
125,1,1059,445,40,103418,601433,17.75162125,73.73767816,3.530630207,108.5279666,358.7113908,320.2454685,60.85640746,230593.1943,11019.99855,198465800
126,1,1059,445,40,97608,569830,17.75162125,73.68164791,3.518951154,106.474604,358.3990555,317.0536583,67.60711547,217638.5205,9959.808984,190930000
127,1,1059,445,40,79807,508391,17.75162125,73.63188132,3.532998477,106.2956372,357.2774073,316.2886332,65.61224649,177947.2728,7280.963809,172184300
128,1,1059,445,40,44565,284727,17.75162125,71.56675652,3.439026626,62.19982245,105.459286,130.469894,55.71908125,99367.47669,3986.910043,118951640
129,1,1059,445,40,82963,526679,17.75162125,73.66383891,3.534756457,106.7674121,358.1727634,317.3901002,60.50499646,184984.2695,7803.592466,176669070
130,2,1130,1456,30,697,1250,11.12545395,7.079281722,0.3194801631,13.48796215,10.7009105,8.433455127,3.706353158,1554.114916,244.8888566,432728.97
131,2,1338,1463,30,1189,2422,17.9478054,12.13874289,0.5371182869,15.68026565,25.27109196,27.14397629,7.554704438,2651.13721,337.4687901,1873289.1
132,2,1158,1487,30,893,1653,11.26163197,8.823558326,0.4062766772,26.99940849,12.39468247,23.95838903,6.069416093,1991.140058,277.7398007,571146.7
133,2,1228,1676,30,267,462,7.439411163,5.413434552,0.2513444072,8.411172139,9.952670175,nan,1.562781294,595.3352693,119.4579788,nan
134,2,1299,1691,29,638,1129,6.627342701,6.894272713,0.2803851664,7.966898464,17.62146592,7.790953546,19.17216539,1422.56143,212.0379124,nan
135,2,344,2106,29,501,873,6.522288799,5.115958557,0.1747808405,12.01980012,21.13139218,18.99705304,9.79881159,1117.089775,206.0650135,nan
136,1,1059,445,40,41292,259584,17.75162125,70.36978832,3.481307591,62.56614586,104.9039325,130.5092377,42.80125587,92069.60277,3646.454803,112102510
137,1,1059,445,40,29481,191564,17.75162125,70.37313824,3.481697586,64.30876867,101.7532415,130.3085513,44.30610313,65734.37855,2484.725959,91300050
138,1,1059,445,40,28945,182445,17.75162125,70.36470871,3.480419237,66.57209608,108.6183362,137.1002318,48.75774966,64539.24858,2478.75306,88605820
139,1,1059,445,40,27195,160051,17.75162125,67.36774831,3.457744268,72.20792313,95.99182796,134.1822556,46.33926511,60637.23838,2430.969869,82244430
140,1,1059,445,40,25673,140428,17.75162125,65.63610114,3.390680067,70.02310153,97.66611408,133.2685115,43.31417784,57243.60438,2553.414297,75942320
141,1,1459,621,36,10992,27604,16.79867172,19.9696771,0.79572015,13.05974966,18.39630033,18.01586587,7.532998212,24509.08345,1663.452355,12273777
142,1,1459,621,36,9762,24693,16.79867172,17.36324235,0.8131987378,12.97393415,18.310431,17.81730119,5.824309113,21766.52771,1406.617701,11433687
143,1,1459,621,36,5376,13169,16.79867172,17.17243088,0.8023372187,11.91877917,17.89864843,15.91968932,3.67780472,11986.97531,1101.999855,7440420.5
144,1,1459,621,36,4116,10320,16.79867172,17.1752771,0.802966623,11.56521623,17.59314835,15.07909163,6.460545168,9177.527972,875.0296948,nan
145,1,1315,1341,43,6248,73389,28.44033241,78.01891923,3.799601544,18.79286766,30.42303355,34.64782896,3.744705366,13931.29125,845.1652001,22991954
146,2,1378,1401,36,1711,5651,12.75290108,15.32663259,0.6424814949,20.07768,32.38806545,37.52340109,14.94674898,3815.051108,382.2655322,nan
147,1,1537,1651,33,8780,26310,11.22581196,20.54986186,0.9140448337,30.6824192,87.92997804,82.57458235,38.45195796,19576.94256,1212.498485,nan
148,1,1537,1651,33,7121,20000,11.22581196,16.65977408,0.6349790231,30.01416226,80.60056114,77.98727914,25.9101756,15877.8369,1128.8779,nan
149,2,292,2130,31,1387,3053,6.683748722,8.531181417,0.3416382265,11.94288525,30.69399262,25.6585951,9.260285605,3092.621792,316.5636439,nan
150,1,1059,445,40,22311,115208,17.75162125,45.50771931,1.970647401,68.96451075,97.77806299,132.3166942,44.22486878,49747.28537,2386.173127,67964920
151,1,1059,445,40,18020,82730,17.75162125,31.37534842,1.178999194,77.39457516,44.89109673,94.18145171,27.14830355,40179.55638,2323.457688,56080530
152,1,1357,441,37,12739,39438,10.92811966,20.43666541,0.8706309619,107.0613725,26.16015511,84.20389041,77.72513185,28404.40448,1782.910334,nan
153,1,1357,441,37,10315,31446,10.92811966,20.33154687,0.849591441,112.2820127,24.11493848,82.73074288,93.7937687,22999.56293,1412.590599,nan
154,2,1175,479,37,1851,4471,8.576693535,15.75506806,0.7365296855,12.60690535,29.03004133,25.62789613,9.206675551,4127.211923,453.9403195,957532.25
155,2,1459,621,36,849,2498,16.79867172,15.17920619,0.6315655641,9.38396876,14.59133809,7.179585872,7.270492814,1893.032373,274.7533513,nan
156,1,1488,712,38,4148,12379,8.383357048,23.90695101,1.026905094,28.16416207,40.54327104,52.02845901,14.00434871,9248.879015,848.1516496,nan
157,1,1315,1341,43,5079,53660,28.44033241,75.71427327,3.828878224,17.45544526,29.32247109,32.28307632,11.28150413,11324.74844,698.8291761,17773364
158,1,1315,1341,43,3179,30655,28.44033241,67.91378297,3.146986637,15.63151041,26.45793156,27.974292,10.7393695,7088.280229,561.4525004,10243379
159,1,1315,1341,43,3337,31988,28.44033241,68.18246697,3.197688038,15.73527552,26.37503855,28.04226844,11.48585117,7440.576006,585.3440962,10561918
160,2,1315,1341,43,2340,23652,28.44033241,46.54494754,1.485983088,15.3147816,22.69349776,24.65932871,2.105636314,5217.545057,415.1164764,nan
161,2,1106,1419,32,545,1286,13.64456749,8.738260129,0.3856215698,10.26262769,16.03793892,11.16475536,4.315512076,1215.19746,197.105665,608626.75
162,2,1583,1648,34,2490,4370,8.473051071,12.34085621,0.5815564653,14.67941154,47.22553184,39.00687748,30.85018003,5552.003073,567.4253994,nan
163,2,1537,1651,33,2896,8174,11.22581196,13.61937892,0.563990764,26.3466904,43.28397508,51.99092004,19.57948294,6457.269438,498.7370615,nan
164,2,572,1722,31,752,1397,7.87610817,6.898437459,0.2794198647,9.300932395,16.77730967,10.1028789,12.81181475,1676.749523,289.6855986,414969.84
165,1,1059,445,40,16078,73806,17.75162125,29.89756021,1.149993844,76.58250059,43.75021645,92.4280948,31.82203951,35849.43992,2138.297821,52420250
166,1,1059,445,40,12226,57389,17.75162125,26.79319717,1.058567227,71.76768067,47.9851019,93.75194669,27.95266684,27260.55806,1511.143432,45078504
167,2,1357,441,37,5220,14799,10.92811966,18.71326771,0.7913801801,56.77422313,21.18070385,53.54644058,35.07584113,11639.13897,863.0838969,nan
168,2,1390,683,32,971,1356,7.891140938,5.152041522,0.1829914071,18.87032142,13.72292492,19.33898814,6.816757198,2165.058227,280.7262502,nan
169,2,1419,754,35,5004,13878,8.804850578,13.84827279,0.6119732126,60.7257822,24.9364738,60.75380665,34.7465253,11157.51943,872.0432453,2335307.8
170,1,1419,754,35,6115,16872,8.804850578,15.47917892,0.6726481971,28.07298193,79.73375571,74.86183179,26.5273268,13634.73847,1158.742394,2318623.2
171,2,1463,766,33,1744,2624,6.86286211,10.37798641,0.4525351552,34.73795672,18.76444819,37.57833598,14.28671643,3888.631871,459.9132184,nan
172,2,1439,816,35,1111,2657,6.682432652,15.78973098,0.737742419,8.816210089,12.90212442,nan,7.959774802,2477.219042,364.3468354,nan
173,2,1067,1279,33,2282,7376,11.92808056,21.21568955,1.037431881,34.77615924,22.64534853,42.07903304,12.76504291,5088.22129,495.7506121,nan
174,2,1322,1404,33,546,1010,16.20562172,6.895974963,0.277422435,10.67175189,13.34497589,8.12723499,3.007351743,1217.42718,191.1327661,764395.1
175,2,1256,1440,33,620,796,11.75071812,7.045511741,0.3124767401,22.53602425,8.522761288,14.04484705,6.930238524,1382.426468,238.9159576,379756.12
176,1,1136,408,38,4615,21116,16.7163372,21.93806389,0.8912967974,29.81416081,41.63516471,54.49535105,15.88643442,10290.15831,851.138099,19656262
177,2,1425,597,33,360,473,9.066653252,nan,nan,9.179895621,12.44472536,nan,18.60845578,802.6992395,134.3902262,nan
178,2,1007,1056,37,1305,5787,10.86074257,14.9944734,0.5826901399,23.13849189,14.42837807,23.91433282,2.048875143,2909.784743,262.8075534,nan
179,2,1252,1393,35,486,840,10.5515976,8.849531639,0.4135013492,13.2812698,8.262373399,nan,9.036611844,1083.643973,182.1734177,nan
180,2,1281,1447,35,668,1387,12.19391537,10.50163699,0.4758706931,21.55755066,9.065608022,14.35772821,16.41366694,1489.453033,238.9159576,663727.56
181,1,661,1627,39,22310,92658,13.64036179,30.59512503,1.273779361,29.47582624,128.3317867,98.41207786,70.9396301,49745.05565,2783.370906,nan
182,2,705,1458,36,2025,6441,9.495109558,18.76418572,0.7954356681,34.09418893,19.65443637,38.2150482,14.30579104,4515.183222,462.8996679,nan
183,1,576,1488,40,5299,14366,9.499456406,20.71055761,0.909517181,28.26907705,69.6183127,69.92864789,14.94368075,11815.28686,925.7993358,1518043.9
