ncl,Npix,Nvox,maxpix,maxpix x,maxpix y,maxpix v,vmax,Tmax,meansigv,errsigv,ellipse fit a,ellipse fit b,ellipse theta,ellipse R,ellipse R error,area,perimeter
61,1201,2410,7.4188514,51,1503,795,1555,5.5505667,10.43084829,4.59E-01,41.41472489,14.97309562,-1.393102889,36.4456346,26.81600742,2677.893852,436.0216227
62,405,675,7.381441,39,1597,1493,1495,5.8353133,nan,nan,16.97708615,11.59736134,-40.72013722,14.49118798,6.02532858,903.0366444,152.308923
63,726,1202,7.3517976,39,1576,1651,1495,5.755933,5.104058721,1.75E-01,28.95001877,12.90790648,-3.897181535,26.0220829,16.35081409,1618.7768,226.9701597
64,657,1260,7.338654,56,1416,963,1580,5.800965,6.821072789,2.67E-01,8.12299704,25.18344386,43.25964882,15.17485685,22.59326453,1464.926112,226.9701597
65,1036,2475,7.300192,43,1125,831,1515,5.6852093,8.798393676,4.02E-01,11.19127239,29.35090717,-25.75737892,23.61541042,5.484978744,2309.990034,265.7940029
66,869,1202,7.2897196,47,1987,829,1540,5.7624545,6.703160822,2.37E-01,13.03671649,24.78394057,26.77736572,23.31288904,18.30080681,1937.626775,265.7940029
67,940,1438,7.280642,59,1860,1413,1595,5.507351,10.59004999,5.02E-01,31.63880797,9.37343848,-6.493214014,21.75709564,9.965093798,2095.936903,307.6042954
68,664,1646,7.25603,13,1955,474,1375,5.6366916,12.2711396,0.5671428924,15.43341118,10.27461528,16.18234509,10.42819948,1.679679929,1480.534153,215.0243619
69,992,1593,7.2402124,42,852,1555,1510,5.505664,5.254406782,2.07E-01,10.61958113,37.88367068,27.75411533,27.43692896,23.49222113,2211.882349,289.6855986
70,2989,5345,7.223642,54,1638,1302,1580,5.447118,13.97896542,0.6431795796,28.8332314,65.2386779,12.23633544,68.26508344,24.02821202,6664.633408,767.5175139
71,653,1088,7.1375628,50,1991,963,1550,5.6691403,5.182877996,1.90E-01,17.79061132,12.10376031,9.250160446,16.08508075,5.866901816,1456.007232,200.0921145
72,945,1388,7.118221,40,2365,915,1500,5.502522,7.008384462,3.06E-01,10.60777642,30.12017074,38.0405827,23.10836145,12.34000698,2107.085504,298.644947
73,842,1661,7.115048,44,1578,861,1520,5.536516,8.68767729,3.80E-01,28.04283426,9.640271677,-20.81580943,20.10170238,31.69377394,1877.424332,244.8888566
74,541,1120,7.1086316,41,1759,454,1505,5.602318,5.31913176,2.24E-01,18.17739454,13.38828068,-7.914252738,18.24272531,18.87458437,1206.278579,167.2411703
75,1124,1995,7.0622,42,1160,921,1510,5.548005,8.834710206,4.14E-01,11.12041146,27.45154193,-15.82271219,22.27960695,10.76657158,2506.205403,322.5365428
76,520,787,6.9891744,35,1308,977,1475,5.6131263,5.160314689,1.87E-01,11.33490154,13.34298235,44.14787747,9.453905184,0.9270888442,1159.454457,179.1869682
77,459,1369,6.9813237,50,1392,1412,1535,5.5796137,10.52790533,4.81E-01,13.9411003,9.096071277,-22.721503,4.981760341,0.5454010246,1023.44153,164.2547209
78,606,841,6.9770927,46,1130,931,1530,5.476649,7.217237996,0.3584009155,8.501898759,13.76368405,16.29868273,nan,nan,1351.210386,223.9837103
79,1018,1600,6.965826,43,1159,826,1515,5.5343275,8.699190715,3.85E-01,9.806798335,24.86211001,-44.6679254,18.27554927,21.27175509,2269.855072,343.4416891
80,1483,2876,6.954495,37,1134,1110,1495,5.6044607,5.332750807,2.26E-01,44.25515984,15.28139631,-41.49223167,38.42806105,4.326722078,3306.674923,322.5365428
81,807,961,6.9286966,52,2170,891,1560,5.2980185,5.186286182,1.90E-01,14.64446638,34.72602474,-34.4266096,32.1480415,18.29786718,1799.384129,340.4552396
82,480,741,6.9088173,53,675,980,1565,5.5610657,6.803858485,2.58E-01,14.06527584,10.05375808,-20.93365145,7.962119661,2.155328053,1070.265653,194.1192156
