ncl,Npix,Nvox,maxpix,maxpix x,maxpix y,maxpix v,vmax,Tmax,meansigv,errsigv,ellipse fit a,ellipse fit b,ellipse theta,ellipse R,ellipse R error,area,perimeter,area npix
16,2254,4367,2.695819,35,525,1404,1475,1.524319,9.674692628,0.3165297394,37.86788152,22.23606871,-24.36584121,43.75837386,17.98032811,7048.145267,618.1950404,5025.811668
17,2025,3823,2.633195,73,1095,1282,1665,1.4356647,13.71686474,0.5902799512,15.81201812,47.32663324,2.018863121,40.83133808,31.68599857,6758.281653,752.5852665,4515.203473
18,18405,47857,2.6138556,32,1332,1129,1475,1.2925997,31.35133737,1.44E+00,43.14010984,86.4197441,-17.91168073,97.67782632,49.4355292,60066.43004,3963.018447,41038.18267
19,6182,14880,2.6025357,32,1477,1353,1460,1.4876962,27.27063576,1.185465808,27.82601468,57.6567139,-24.85273716,62.68272891,23.00068881,21242.54349,1690.3304,13784.19154
20,1338,2010,2.5850918,55,2214,898,1575,1.4890376,10.26569401,0.4545555763,21.76051579,19.41785295,-18.09335799,28.39636166,8.233363369,3984.509836,409.1435774,2983.378887
21,632,977,2.5701327,8,1709,665,1335,1.4288473,9.88399028,0.3921165441,16.91454231,11.28640307,-41.81423085,13.93855634,4.163956863,2343.435835,352.4010375,1409.18943
22,736,1160,2.5454128,38,449,1354,1490,1.4193711,14.00284633,0.6888302341,10.54338754,14.09332748,23.99634934,9.081718763,2.225840105,2887.487542,436.0216227,1641.081361
23,337,537,2.5101345,42,708,685,1510,1.5519367,nan,nan,15.73493543,13.17380945,35.44986501,15.41355013,3.456156283,1123.778935,170.2276198,751.4190471
24,2445,8742,2.4861312,16,1696,656,1380,1.486623,30.2119835,1.230566427,22.59971919,32.786408,40.1971475,40.59229821,13.38697553,7969.019672,740.6394686,5451.690119
25,773,1411,2.386605,27,1712,631,1435,1.4705358,10.03960462,4.07E-01,13.483021,17.1480264,-0.3557086415,17.34294584,14.89074063,2318.908914,265.7940029,1723.581375
26,584,814,2.3103712,32,1385,1383,1460,1.3202043,12.11221962,5.50E-01,23.45504056,10.62108438,20.58884436,18.65755481,40.5475683,2327.827795,352.4010375,1302.162384
27,1512,1952,2.281946,58,2301,900,1590,1.278017,10.41639388,0.4571681512,26.80787197,38.00663898,29.99114948,48.80656224,19.35623248,6568.755443,824.2600538,3371.351926
28,1379,1809,2.2217858,37,1392,1108,1485,1.2998683,19.1304144,8.73E-01,17.44299898,25.76886997,1.641808609,29.62344707,14.74183332,5859.704448,701.8156255,3074.797822
29,1184,1607,2.160001,73,1202,1317,1665,1.4465044,13.87583534,0.6433138929,14.52221509,27.18029149,-42.76033716,27.07085686,18.02166256,3957.753195,453.9403195,2640.00045
30,2068,4743,2.159608,44,1719,606,1520,1.3177462,18.72889822,7.80E-01,16.61590649,33.27565672,-10.53031501,33.92370514,16.39950789,6967.875343,639.1001867,4611.081867
31,2026,3002,2.1552458,39,1655,626,1500,1.301843,11.98349114,0.5035135128,56.83197588,22.89068636,-27.11793924,55.92267366,38.25185726,8261.113007,1078.108259,4517.433203
32,920,1513,2.13953,41,1327,1215,1505,1.3645031,12.2584387,0.5682726322,22.29964068,11.44244457,-8.246353132,19.08077293,27.19860202,3456.06617,418.1029258,2051.351701
33,1429,1719,2.1197705,58,2329,990,1590,1.230271,8.574977694,3.50E-01,33.09685979,18.20476109,1.299307649,35.80389306,17.29073353,7130.644911,1021.365719,3186.284327
34,467,777,2.0899587,38,976,1120,1490,1.3671358,8.58019145,0.3595219896,13.16098962,11.63252502,29.31087835,9.714891414,1.465112563,1759.249167,247.875306,1041.283961
35,896,1245,2.0831804,35,479,1313,1475,1.3175063,10.59546373,0.5025401444,36.94735073,16.75557898,22.15749552,36.40961181,10.96619861,4740.384953,660.0053329,1997.838179
36,1957,3760,2.0647345,52,669,1156,1560,1.321545,17.39737292,7.94E-01,43.91918996,16.97382663,-11.91936942,40.73892348,19.27898837,8076.046237,997.4741231,4363.581825
37,1644,2295,2.0435324,25,1542,1266,1420,1.2865051,10.14582504,4.01E-01,36.60124874,17.89001215,24.96095112,37.68356945,14.49500049,6062.608978,740.6394686,3665.676301
38,1827,2455,2.0352385,66,1223,1316,1630,1.2446125,21.30132361,1.047064098,29.40001444,47.4219569,-7.285410803,58.08470439,23.3951597,8296.788528,1009.419921,4073.716911
39,1299,2109,2.0106723,63,988,1190,1620,1.3576014,10.09442946,4.03E-01,16.61644952,25.11418841,16.68369825,28.15179686,9.03412303,4816.195437,603.262793,2896.419413
40,946,1463,1.9893869,36,463,1443,1480,1.3306369,10.18318834,4.08E-01,19.82165378,13.06195423,-30.14959172,19.33848869,17.05907946,3304.445203,424.0758248,2109.324684
41,344,362,1.9406681,34,1657,1542,1470,1.3970169,6.804049294,2.78E-01,9.611410948,15.84948621,-20.90828732,9.611032292,4.5253541,1259.791862,197.105665,767.0271578
42,471,591,1.855951,17,1547,1316,1380,1.3182528,6.895076416,0.2839387351,11.2152627,21.52009743,12.64252008,18.0993925,13.44663234,1482.763873,203.078564,1050.202882
43,528,1391,1.8512975,41,1346,1312,1530,1.2937526,22.88283952,1.11071933,11.43464544,15.21371345,26.78138584,12.22781406,3.656299506,2744.785455,412.1300269,1177.297498
44,216,261,1.8360394,44,1736,553,1520,1.3325546,6.802368991,2.65E-01,10.43553658,8.572877376,6.514558275,nan,nan,961.0093673,176.2005188,481.6217038
45,1180,1380,1.8217578,58,1885,1424,1590,1.2432824,8.5921897,0.3551392824,36.4650966,18.05540956,13.34128751,37.8094156,14.31731653,5219.774777,806.341357,2631.08153
46,742,1245,1.7698504,67,1336,1347,1595,1.2870028,23.07390255,1.16E+00,12.81871156,22.7663231,13.91263122,21.47039109,19.07546715,2588.705047,313.5771944,1654.459742
47,147,155,1.7179936,26,1605,1231,1430,1.2523428,7.217092617,3.61E-01,6.681589982,8.773702185,35.48007319,nan,nan,869.5908428,185.1598672,327.7703262
48,931,1102,1.7159479,44,1824,451,1520,1.1853459,14.122265,6.70E-01,44.15012489,20.61774498,-40.45738756,45.7724587,19.69754285,5161.802054,830.2329528,2075.878732
49,175,283,1.7049993,43,1781,931,1515,1.3094884,5.111107405,1.76E-01,14.57435164,9.823943127,-7.870202145,8.256658423,2.451815945,675.6051932,125.4308778,390.2027693
50,295,311,1.7003067,41,1821,462,1505,1.2051904,5.202286949,1.94E-01,20.04305849,9.766755415,-26.25331657,14.39104671,9.881217007,1699.046724,289.6855986,657.7703825
51,424,636,1.6946809,43,1741,515,1515,1.21701,10.47627342,0.4721299132,15.13209111,12.65544686,-6.365269742,13.99522094,7.762909203,2822.825659,471.8590163,945.4055666
52,400,441,1.6887013,43,1539,781,1530,1.224246,10.65061932,0.517494789,41.06822259,11.75682677,-8.043000184,31.07506255,36.43890786,2414.786879,468.8725668,891.892044
53,445,461,1.6885457,55,1345,1031,1575,1.2107092,8.75456699,3.92E-01,30.21667227,13.82482243,-40.43941324,28.17203936,19.77671998,2385.800517,424.0758248,992.229899
54,275,329,1.687838,42,1745,939,1510,1.2891699,6.970768004,0.3019712092,10.21751354,11.92235245,-14.09284505,3.424850731,0.7536874031,1092.562854,191.1327661,613.1757803
55,589,709,1.683758,42,907,1163,1510,1.2606331,8.95481734,0.4406379353,8.80966328,26.97140049,43.22799148,17.82395796,107.5637419,2983.365507,504.7099605,1313.311035
56,241,290,1.6725107,14,1484,1302,1375,1.2388793,12.19051101,0.5593249077,20.97114714,5.707444825,-0.4226494235,2.472700989,0.8696563757,1464.926112,265.7940029,537.3649565
57,190,200,1.6703906,33,1394,1262,1465,1.2189611,6.897837386,0.2838873995,8.34761706,7.947262236,19.79361624,nan,nan,981.0768483,182.1734177,423.6487209
58,175,175,1.6649797,59,2408,888,1595,1.2122023,nan,nan,7.914371817,19.05710131,15.49050326,9.401037386,3.164089545,1092.562854,209.0514629,390.2027693
59,292,377,1.6606138,58,1199,1222,1595,1.2077842,6.956710395,0.2928087164,17.50396759,11.86905737,14.40285358,15.45348923,12.70036243,1253.102702,203.078564,651.0811921
60,617,874,1.6590133,74,1239,1244,1670,1.2149315,10.50754202,0.474365013,23.69315011,17.58951436,33.89529022,28.12561438,12.1123065,2693.501893,424.0758248,1375.743478
61,346,346,1.6517212,72,1313,1317,1660,1.2377332,6.83161038,0.2742926022,12.74451194,29.58612568,-32.76816963,26.19493147,17.25488263,1464.926112,271.7669018,771.4866181
62,636,676,1.6459788,45,755,1146,1525,1.2005529,12.19923168,0.5488224499,19.92534468,9.80500356,-7.916919395,14.35542114,15.08216989,3311.134363,486.7912637,1418.10835
63,177,185,1.6390976,32,1620,1592,1460,1.187933,7.035866162,0.3127106784,15.60824084,10.37932998,41.51643508,10.85891302,2.041770364,1424.79115,274.7533513,394.6622295
64,125,177,1.6382692,72,1242,1263,1660,1.2155118,7.281825567,0.3730876701,15.21627894,10.29858449,15.85198659,10.19409539,2.269838426,840.6044814,164.2547209,278.7162638
65,314,316,1.6238757,39,452,1177,1500,1.2551917,5.116732128,0.1871743657,11.84777704,4.871708305,-13.68920847,nan,nan,1204.048859,212.0379124,700.1352545
66,200,200,1.6122687,60,950,1178,1600,1.2143496,6.927831332,0.2869589426,10.14347863,15.55395906,-13.10210237,10.33121471,3.941566751,1357.899547,277.7398007,445.946022
67,191,271,1.5957371,14,1953,471,1360,1.253537,7.019545659,0.3128692581,14.34958145,6.920138021,36.08463851,nan,nan,882.9691635,170.2276198,425.878451
68,532,538,1.5952197,51,780,1169,1545,1.1536868,10.29774602,0.4285568486,17.96825239,34.44556693,-36.61624783,36.40425506,20.90011729,3594.308817,621.1814898,1186.216419
69,208,243,1.5931646,63,2298,864,1615,1.2199848,8.876768003,0.4333223841,15.52917091,7.040042261,43.74160922,nan,nan,1161.684177,235.9295082,463.7838629
70,424,427,1.5797123,47,790,1075,1525,1.1964953,8.612566535,0.3585884645,19.68961313,9.31467279,-0.6983915549,13.20834248,9.08240698,2191.814868,433.0351732,945.4055666
71,439,504,1.5777025,52,835,1155,1560,1.1971221,12.37419009,0.5878198086,12.31540461,27.36812769,-13.34299319,24.09254594,13.95238153,2773.771816,495.7506121,978.8515183
72,166,201,1.5772322,52,1262,1201,1560,1.2346098,5.353434465,0.2339228688,6.392885128,11.82543252,-42.56764288,nan,nan,1177.292218,259.8211039,370.1351983
73,217,218,1.5592929,39,1033,1199,1495,1.2177094,5.085578284,0.1738971438,8.7840061,6.449876253,-41.52733686,nan,nan,1003.374049,209.0514629,483.8514339
74,173,195,1.5571086,67,1296,1339,1635,1.1636567,8.792752933,0.4035068212,7.797353493,11.72599942,-8.277399551,nan,nan,1081.414253,215.0243619,385.743309
75,183,267,1.5532373,44,1678,510,1520,1.2318984,5.26778002,0.2109486271,12.99157157,9.558555339,-7.757875729,4.23978213,0.8410464997,762.5642775,152.308923,408.0406101
76,141,185,1.4934542,32,1355,1329,1460,1.2047055,5.35980133,0.233827949,9.218846959,12.61727271,33.58212023,nan,nan,700.1321145,131.4037767,314.3919455
77,119,119,1.4908159,33,627,1367,1465,1.2032989,5.120526477,0.1758631655,15.34949495,7.29293512,-23.6518898,nan,nan,1099.252014,268.7804523,265.3378831
78,96,102,1.4893062,43,1317,949,1515,1.1385875,6.982770149,0.2974473515,8.44723216,5.109298304,-15.75584594,nan,nan,807.1586797,218.0108113,214.0540906
79,160,160,1.4416827,62,1277,1164,1610,1.1373656,8.891940153,0.4234397098,31.71473665,8.957974608,-31.91265005,20.98901519,10.60777298,1634.38484,364.3468354,356.7568176
80,126,126,1.4333365,35,1478,1004,1475,1.1588025,5.282425297,0.2154766826,11.02719673,8.023518352,44.61137892,nan,nan,943.1716064,182.1734177,280.9459939
81,113,113,1.4332464,69,1269,1264,1645,1.149057,7.113284597,0.3300390622,12.21815672,14.43319927,-7.97955289,12.48270565,5.304168722,1226.34606,241.9024071,251.9595024
82,150,150,1.429249,58,910,1186,1590,1.1447902,5.286433652,0.2144215209,11.36122189,18.2581026,32.62350803,15.42600072,11.59390338,1159.454457,283.7126997,334.4595165
83,89,89,1.4241145,25,1596,1197,1425,1.1213716,5.2359267,0.2031471609,11.05724076,16.63015655,-2.968473298,13.25640166,5.989148406,1137.157256,256.8346544,198.4459798
84,123,124,1.3961967,38,1550,776,1495,1.125657,5.309277287,0.2202657643,9.353075148,25.18288096,29.45882054,17.66973779,135.128804,1596.479599,325.5229923,274.2568035
