ncl,mass,mass error,R,velocity disp
130,60000,50000,118.6184073,2.232482738
131,240000,100000,133.765902,2.642721926
132,440000,70000,132.7500152,3.050242478
133,50000,40000,95.3337639,1.176426443
134,270000,170000,149.4081207,2.948555439
135,220000,80000,114.814052,2.744809497
136,1070000,110000,297.7464131,8.381764682
137,80000,80000,85.57591098,3.151821565
138,140000,90000,109.0407563,2.744809497
139,190000,100000,107.4566728,4.163409561
140,160000,90000,144.4324636,2.025828022
141,90000,110000,106.5626883,5.27105105
142,160000,40000,103.0843661,3.759518477
143,130000,110000,128.8586301,2.232482738
144,120000,60000,99.50264589,3.961562719
145,90000,40000,88.1320971,3.557243199
146,90000,50000,89.91633077,2.025828022
147,110000,60000,97.50531544,2.438027723
148,100000,90000,87.37102803,6.877788829
149,90000,90000,88.74438878,3.25330281
