Identifier,,Lat,Lon,MajAxis,MinAxis,PosAng,VLSR,vel disp,d,Reff,N0H2,mass,density,n,alphavir,xrad,vel disp not fwhm
G113.501+00.528-050.79,,113.501,0.528,132,85,126,-50.79,1.62,4.04,2.4,1.30E+21,1913.5,105.4,478,3.8,4.584,0.6879506582
G113.526+01.873-052.11,,113.526,1.873,106,52,49,-52.11,0.81,4.15,1.69,6.60E+20,459.2,51.1,330,2.8,3.2279,0.3439753291
G113.527-01.186+001.43,,113.527,-1.186,270,166,179,1.43,0.54,0.31,0.37,3.20E+20,7.3,17,502,17.4,0.7067,0.2293168861
G113.553-01.701-031.52,,113.553,-1.701,699,230,146,-31.52,1.57,2.42,5.54,9.80E+20,4558.6,47.2,93,3.5,10.5814,0.6667176132
G113.576-01.970-038.20,,113.576,-1.97,126,79,111,-38.2,1.28,2.97,1.66,1.00E+21,670.2,77.4,509,4.7,3.1706,0.5435659522
G113.590+04.622-009.27,,113.59,4.622,1272,532,-150,-9.27,2.29,0.65,3.05,1.20E+21,1868.5,63.9,228,9.9,5.8255,0.9724734613
G113.610+00.591-011.99,,113.61,0.591,419,213,132,-11.99,1.1,0.71,1.21,6.50E+20,176.5,38.6,348,9.6,2.3111,0.4671269902
G113.621-03.020-003.54,,113.621,-3.02,239,72,46,-3.54,0.56,0.26,0.2,2.80E+20,1.4,11.6,648,50.7,0.382,0.2378101041
G113.623-01.949-058.83,,113.623,-1.949,181,41,-156,-58.83,1.16,4.75,2.29,4.30E+20,372.1,22.6,107,9.6,4.3739,0.4926066442
G113.658+00.923-075.52,,113.658,0.923,231,65,-164,-75.52,0.57,6.39,4.41,4.70E+20,1585.1,25.9,64,1,8.4231,0.2420567131
G113.695+00.230-012.45,,113.695,0.23,204,139,127,-12.45,0.79,0.92,0.88,4.70E+20,57.3,23.7,295,11.1,1.6808,0.3354821111
G113.697-03.376-004.81,,113.697,-3.376,179,142,171,-4.81,0.67,0.21,0.19,5.40E+20,4.5,42,2470,21.5,0.3629,0.2845228031
G113.702-02.870-005.02,,113.702,-2.87,165,107,169,-5.02,1.66,0.24,0.18,3.40E+20,1.8,16.7,995,330,0.3438,0.7049370942
G113.716+02.822-052.99,,113.716,2.822,243,70,-154,-52.99,0.64,4.21,3.12,9.30E+20,2156.4,70.5,246,0.7,5.9592,0.2717829761
G113.776-01.146-007.48,,113.776,-1.146,132,102,135,-7.48,0.6,0.26,0.17,3.20E+20,1.2,14,904,56.9,0.3247,0.2547965401
G113.847-01.088-041.76,,113.847,-1.088,140,43,177,-41.76,0.88,3.25,1.4,7.40E+20,311.9,50.9,398,4.1,2.674,0.3737015921
G113.881-00.176-038.32,,113.881,-0.176,336,108,153,-38.32,0.96,2.96,3.21,1.60E+21,4381.6,135.3,460,0.8,6.1311,0.4076744641
G113.889+02.598-017.20,,113.889,2.598,278,193,124,-17.2,1.26,0.79,1.05,6.50E+20,122.4,35.5,369,15.7,2.0055,0.5350727342
G113.894+03.272-018.89,,113.894,3.272,179,48,165,-18.89,0.92,0.71,0.37,4.90E+20,14.4,34,1011,24.8,0.7067,0.3906880281
G113.895-03.474-009.91,,113.895,-3.474,172,63,-173,-9.91,0.38,0.22,0.13,5.40E+20,2.2,40.2,3360,9.9,0.2483,0.1613711421
G113.944-04.102-002.86,,113.944,-4.102,591,267,-168,-2.86,0.7,0.24,0.55,4.60E+20,20,20.8,411,15.9,1.0505,0.2972626301
G113.986+05.195-002.62,,113.986,5.195,339,179,170,-2.62,0.83,0.27,0.38,8.60E+20,23.6,50.9,1445,13,0.7258,0.3524685471
G114.002-00.082-015.91,,114.002,-0.082,260,203,-166,-15.91,0.84,0.92,1.2,6.00E+20,131.9,29.1,265,7.5,2.292,0.3567151561
G114.055+03.428-008.62,,114.055,3.428,697,463,49,-8.62,1.7,0.24,0.79,7.70E+20,59.1,30,414,45.1,1.5089,0.7219235302
G114.085-04.078-043.26,,114.085,-4.078,192,85,-174,-43.26,0.96,3.37,2.43,1.20E+21,1280.7,68.8,308,2,4.6413,0.4076744641
G114.087+02.400-010.35,,114.087,2.4,324,179,157,-10.35,1.4,0.79,1.09,1.10E+21,197.2,52.9,530,12.6,2.0819,0.5945252602
G114.088-00.067+008.78,,114.088,-0.067,198,142,132,8.78,1.27,0.29,0.28,4.60E+20,4.6,19.1,757,113.7,0.5348,0.5393193432
G114.110+01.978-051.44,,114.11,1.978,96,47,102,-51.44,0.9,4.07,1.49,5.00E+20,234.2,33.8,248,6,2.8459,0.3821948101
G114.117+02.546-067.67,,114.117,2.546,249,77,-156,-67.67,0.96,5.56,4.36,5.10E+20,2047.4,34.3,85,2.3,8.3276,0.4076744641
G114.131+04.630-002.39,,114.131,4.63,1030,340,107,-2.39,1.43,0.26,0.87,1.00E+21,133,55.5,693,15.6,1.6617,0.6072650872
G114.158+02.829-013.55,,114.158,2.829,458,142,159,-13.55,0.61,0.89,1.29,5.60E+20,135.1,25.7,216,4.1,2.4639,0.2590431491
G114.179+02.649-007.01,,114.179,2.649,164,108,168,-7.01,1.06,0.71,0.53,7.40E+20,29.3,32.9,675,23.8,1.0123,0.4501405542
G114.204-01.008-032.53,,114.204,-1.008,694,195,128,-32.53,1.49,2.48,5.21,1.40E+21,8974.2,105.4,221,1.5,9.9511,0.6327447412
G114.214+02.669-052.21,,114.214,2.669,295,148,115,-52.21,1.84,4.13,4.92,1.40E+21,7614.6,100.1,222,2.5,9.3972,0.7813760563
G114.225+01.351-055.42,,114.225,1.351,104,73,166,-55.42,1.22,4.42,2.14,6.90E+20,680.8,47.3,241,5.5,4.0874,0.5180862982
G114.253+00.338-054.01,,114.253,0.338,218,81,170,-54.01,1.76,4.29,3.22,2.30E+21,7885.9,241.4,817,1.5,6.1502,0.7474031843
G114.254+00.028-040.91,,114.254,0.028,182,75,147,-40.91,1.02,3.16,2.08,9.50E+20,906.4,66.9,351,2.8,3.9728,0.4331541181
G114.273+01.743-004.32,,114.273,1.743,404,205,133,-4.32,0.86,0.77,1.27,1.10E+21,399.5,79.3,684,2.7,2.4257,0.3652083741
G114.294+00.797-101.29,,114.294,0.797,262,139,-141,-101.29,0.87,9.51,10.34,6.70E+20,7876.3,23.4,24,1.1,19.7494,0.3694549831
G114.340+03.161-047.75,,114.34,3.161,121,30,-176,-47.75,2,3.73,1.21,3.70E+20,124.6,26.9,242,45,2.3111,0.8493218003
G114.343+03.157-014.97,,114.343,3.157,639,139,169,-14.97,0.89,0.82,1.39,5.00E+20,148.6,24.5,192,8.5,2.6549,0.3779482011
G114.400-01.146-015.09,,114.4,-1.146,324,121,173,-15.09,1.67,0.31,0.35,1.40E+21,45.8,121.5,3835,24.5,0.6685,0.7091837032
G114.423+01.009-007.28,,114.423,1.009,252,51,84,-7.28,0.91,0.71,0.45,8.60E+20,51.3,79.9,1932,8.4,0.8595,0.3864414191
G114.425+01.265-054.79,,114.425,1.265,376,71,-160,-54.79,1.05,4.35,4.04,5.20E+20,1368.6,26.7,72,3.8,7.7164,0.4458939452
G114.442+03.127-037.66,,114.442,3.127,162,64,158,-37.66,0.82,2.88,1.65,5.20E+20,272.7,32.1,212,4.7,3.1515,0.3482219381
G114.458+00.156-037.68,,114.458,0.156,103,88,151,-37.68,0.54,2.89,1.54,3.90E+20,137.9,18.5,131,3.8,2.9414,0.2293168861
G114.463-04.397-004.24,,114.463,-4.397,194,112,-149,-4.24,0.51,0.21,0.17,4.50E+20,2.4,26.4,1681,21.2,0.3247,0.2165770591
G114.467-00.851-047.04,,114.467,-0.851,324,208,129,-47.04,0.96,3.68,5.45,1.30E+21,4698.8,50.3,100,1.2,10.4095,0.4076744641
G114.478-01.812-003.31,,114.478,-1.812,183,62,-135,-3.31,0.39,0.31,0.18,2.40E+20,1.3,11.9,708,25,0.3438,0.1656177511
G114.487-00.763+006.72,,114.487,-0.763,299,194,100,6.72,2.38,0.31,0.42,4.60E+20,14.1,25.3,655,195.6,0.8022,1.010692942
G114.491+01.223-008.95,,114.491,1.223,117,92,160,-8.95,0.85,0.73,0.42,4.20E+20,12.4,22,569,28.5,0.8022,0.3609617651
G114.498-01.244-005.36,,114.498,-1.244,284,144,-179,-5.36,0.64,0.24,0.28,5.30E+20,8.7,35,1360,15.5,0.5348,0.2717829761
G114.503+03.555-002.61,,114.503,3.555,430,188,108,-2.61,0.76,0.32,0.51,4.80E+20,18,21.9,466,19.2,0.9741,0.3227422841
G114.530-02.913-010.71,,114.53,-2.913,275,195,179,-10.71,0.85,0.39,0.51,5.40E+20,24.4,29.8,638,17.6,0.9741,0.3609617651
G114.572-00.102-036.22,,114.572,-0.102,651,380,126,-36.22,1.72,2.76,7.84,1.10E+21,10514,54.5,75,2.6,14.9744,0.7304167482
G114.573+00.285-032.99,,114.573,0.285,163,70,138,-32.99,1.67,2.5,1.5,2.00E+21,1455.2,204.7,1486,3.3,2.865,0.7091837032
G114.576+04.565-078.64,,114.576,4.565,294,86,171,-78.64,1.22,6.67,6.02,4.50E+20,2993,26.3,47,3.4,11.4982,0.5180862982
G114.583-00.420-049.36,,114.583,-0.42,620,266,135,-49.36,1.43,3.87,8.96,2.10E+21,44960.2,178.2,217,0.5,17.1136,0.6072650872
G114.598-00.645-034.17,,114.598,-0.645,131,93,88,-34.17,0.94,2.6,1.62,5.50E+20,275.4,33.5,226,6,3.0942,0.3991812461
G114.615+03.526-011.64,,114.615,3.526,224,142,153,-11.64,0.74,0.37,0.37,8.20E+20,22.4,51.9,1529,10.4,0.7067,0.3142490661
G114.624-01.127-042.68,,114.624,-1.127,384,108,170,-42.68,1.1,3.3,3.83,7.70E+20,1758.6,38.2,109,3.1,7.3153,0.4671269902
G114.653-01.539-004.59,,114.653,-1.539,329,159,-155,-4.59,0.91,0.24,0.32,8.00E+20,18.5,58.2,1997,16.3,0.6112,0.3864414191
G114.661-02.224-046.34,,114.661,-2.224,143,81,-166,-46.34,0.9,3.61,2.18,2.30E+21,3400.1,227.1,1136,0.6,4.1638,0.3821948101
G114.668+03.331-069.13,,114.668,3.331,1090,184,156,-69.13,1.3,5.69,14.54,7.10E+20,13973.5,21,15,2,27.7714,0.5520591702
G114.673+02.989-000.54,,114.673,2.989,447,362,91,-0.54,1.03,0.27,0.63,4.90E+20,28.8,23.1,401,27.1,1.2033,0.4374007271
G114.696+04.114+004.40,,114.696,4.114,412,276,52,4.4,1.09,0.24,0.47,7.90E+20,31.6,45.6,1061,20.6,0.8977,0.4628803812
G114.708+00.934-008.43,,114.708,0.934,315,126,112,-8.43,0.64,0.65,0.74,4.10E+20,30.5,17.9,264,11.6,1.4134,0.2717829761
G114.715+01.089-013.33,,114.715,1.089,1691,949,-165,-13.33,1.84,0.77,5.58,1.20E+21,5829.3,59.5,116,3.7,10.6578,0.7813760563
G114.737-02.893-045.34,,114.737,-2.893,110,83,88,-45.34,0.89,3.52,1.87,9.10E+20,699,63.4,369,2.5,3.5717,0.3779482011
G114.742+00.050-011.76,,114.742,0.05,380,189,136,-11.76,0.51,0.89,1.36,5.70E+20,154.5,26.5,212,2.7,2.5976,0.2165770591
G114.762+02.139-063.21,,114.762,2.139,1438,457,168,-63.21,2.47,5.11,23.66,7.20E+20,34411.4,19.6,9,4.8,45.1906,1.048912423
G114.768-00.593-014.40,,114.768,-0.593,194,128,-175,-14.4,1.99,0.92,0.82,9.70E+20,145.3,68.4,909,26.1,1.5662,0.8450751913
G114.771-00.318-035.76,,114.771,-0.318,125,67,144,-35.76,0.85,2.72,1.39,5.50E+20,209.3,34.4,269,5.6,2.6549,0.3609617651
