Identifier,,Lat,Lon,MajAxis,MinAxis,PosAng,VLSR,vel disp,d,Reff,N0H2,mass,density,n,alphavir,xrad,vel disp not fwhm
G104.767-03.132-041.32,,104.767,-3.132,204,55,93,-41.32,1.08,3.73,2.21,6.50E+20,520,33.8,166,5.7,4.2211,0.4586337722
G104.790+01.372-048.22,,104.79,1.372,109,40,162,-48.22,0.62,4.32,1.55,5.50E+20,244.2,32.4,228,2.8,2.9605,0.2632897581
G104.827+00.885-001.44,,104.827,0.885,182,149,75,-1.44,1.16,0.23,0.22,5.10E+20,4.8,32.7,1655,70.1,0.4202,0.4926066442
G104.833+00.155-065.87,,104.833,0.155,354,152,55,-65.87,1.33,5.91,7.82,7.70E+20,8169.8,42.5,59,2,14.9362,0.5647989972
G104.845-01.155-013.37,,104.845,-1.155,224,195,-161,-13.37,1.27,0.24,0.29,7.40E+20,8.5,31.9,1199,64,0.5539,0.5393193432
G104.863+01.003-050.03,,104.863,1.003,111,90,124,-50.03,1.05,4.48,2.51,5.60E+20,722.7,36.5,158,4.4,4.7941,0.4458939452
G104.913+02.753-024.20,,104.913,2.753,607,412,106,-24.2,0.82,1.73,4.93,9.80E+20,4327.6,56.6,125,0.9,9.4163,0.3482219381
G104.950+01.082-058.92,,104.95,1.082,146,45,126,-58.92,1.31,5.26,2.37,3.60E+20,254.7,14.4,66,18.4,4.5267,0.5563057792
G104.983-02.678-042.50,,104.983,-2.678,301,79,123,-42.5,1.2,3.82,3.34,8.00E+20,1117.6,31.8,103,5,6.3794,0.5095930802
G104.985+02.011-020.40,,104.985,2.011,409,272,-169,-20.4,2.23,1.73,3.29,1.60E+21,5038.7,148.2,492,3.8,6.2839,0.9469938073
G104.998+00.735-054.11,,104.998,0.735,221,55,175,-54.11,0.77,4.82,2.99,4.30E+20,587.6,20.9,76,3.5,5.7109,0.3269888931
G105.057+02.266-002.05,,105.057,2.266,287,101,159,-2.05,0.43,0.35,0.34,3.30E+20,7.6,20.7,659,9.5,0.6494,0.1826041871
G105.094+01.123-047.81,,105.094,1.123,496,281,-176,-47.81,1.9,4.27,9.11,1.40E+21,21978.9,84.3,101,1.7,17.4001,0.8068557103
G105.094-04.029-046.86,,105.094,-4.029,82,62,68,-46.86,1.9,4.18,1.64,7.00E+20,521.1,61.4,408,13.1,3.1324,0.8068557103
G105.098+00.853-047.35,,105.098,0.853,132,99,133,-47.35,1.05,4.23,2.72,6.50E+20,781.2,33.6,135,4.5,5.1952,0.4458939452
G105.142+00.322-069.25,,105.142,0.322,192,119,-140,-69.25,1.16,6.2,5.32,9.90E+20,5337.9,59.9,122,1.6,10.1612,0.4926066442
G105.151+03.434-009.98,,105.151,3.434,212,84,152,-9.98,0.53,0.24,0.19,1.30E+21,13.9,129.2,7631,4.3,0.3629,0.2250702771
G105.212+00.698-061.54,,105.212,0.698,120,51,178,-61.54,0.92,5.48,2.37,4.00E+20,445.7,25.2,116,5.2,4.5267,0.3906880281
G105.212-01.181-014.72,,105.212,-1.181,222,85,-174,-14.72,0.9,0.65,0.5,6.70E+20,30.4,38,822,15.5,0.955,0.3821948101
G105.230+00.787-052.97,,105.23,0.787,263,93,-173,-52.97,1.14,4.71,4.19,7.70E+20,3044.2,55.1,143,2.1,8.0029,0.4841134262
G105.231+00.479-051.08,,105.231,0.479,124,71,68,-51.08,1.5,4.54,2.38,4.70E+20,585.4,32.8,150,10.6,4.5458,0.6369913502
G105.247-00.284-034.00,,105.247,-0.284,98,67,176,-34,0.66,3.07,1.38,7.60E+20,313.4,52.1,411,2.3,2.6358,0.2802761941
G105.276-03.925-042.92,,105.276,-3.925,80,58,117,-42.92,1.16,3.83,1.43,4.80E+20,216.8,33.9,259,10.2,2.7313,0.4926066442
G105.296-00.420-007.10,,105.296,-0.42,149,30,102,-7.1,0.97,0.39,0.14,4.10E+20,1.6,25.7,1979,95.6,0.2674,0.4119210731
G105.308+02.241-059.99,,105.308,2.241,137,83,176,-59.99,0.68,5.32,3.18,5.00E+20,1125.6,35.4,121,1.5,6.0738,0.2887694121
G105.346+03.463-018.37,,105.346,3.463,100,44,139,-18.37,1.08,0.89,0.32,3.40E+20,6.6,20.3,689,66.1,0.6112,0.4586337722
G105.389+00.275-052.19,,105.389,0.275,1392,530,170,-52.19,2.96,4.63,22.71,1.70E+21,145560.9,89.8,43,1.6,43.3761,1.256996264
G105.391-02.630-040.79,,105.391,-2.63,101,65,-166,-40.79,0.86,3.64,1.64,8.60E+20,486.4,57.5,382,2.9,3.1324,0.3652083741
G105.426-00.750-036.49,,105.426,-0.75,175,147,-158,-36.49,1.22,3.27,2.98,8.60E+20,1276.5,45.8,168,4,5.6918,0.5180862982
G105.467+00.594-048.35,,105.467,0.594,257,84,146,-48.35,0.75,4.29,3.58,7.40E+20,2338.2,58.1,177,1,6.8378,0.3184956751
G105.499+03.745-064.36,,105.499,3.745,368,108,157,-64.36,3.68,5.7,6.48,1.30E+21,9961.8,75.6,127,10.2,12.3768,1.562752113
G105.518+03.123-064.86,,105.518,3.123,249,129,173,-64.86,1.34,5.75,5.86,4.70E+20,1561.6,14.5,27,7.8,11.1926,0.5690456062
G105.686+01.243-023.36,,105.686,1.243,194,134,96,-23.36,1.67,1.63,1.5,1.00E+21,607.7,86.4,631,8,2.865,0.7091837032
G105.691-01.341-008.22,,105.691,-1.341,1147,500,-138,-8.22,0.97,0.26,1.14,1.10E+21,108.5,26.7,256,11.3,2.1774,0.4119210731
G105.695+03.686-069.42,,105.695,3.686,222,89,131,-69.42,1.28,6.16,4.9,8.20E+20,4113.8,54.5,121,2.3,9.359,0.5435659522
G105.709+02.996-062.56,,105.709,2.996,239,73,137,-62.56,0.75,5.52,4.12,4.70E+20,1168.4,21.9,58,2.3,7.8692,0.3184956751
G105.715+01.729-068.89,,105.715,1.729,106,53,103,-68.89,0.89,6.12,2.52,7.60E+20,899.7,45.1,195,2.6,4.8132,0.3779482011
G105.743+03.172-062.30,,105.743,3.172,210,109,127,-62.3,1.51,5.5,4.72,6.60E+20,2073.6,29.6,68,6,9.0152,0.6412379592
G105.772-00.170-045.79,,105.772,-0.17,279,134,144,-45.79,1.02,4.04,4.45,1.50E+21,4106.3,65.9,161,1.3,8.4995,0.4331541181
G105.776+00.542-045.05,,105.776,0.542,172,39,173,-45.05,1.55,3.98,1.81,6.80E+20,436.9,42.3,254,11.6,3.4571,0.6582243952
G105.791+01.203-056.43,,105.791,1.203,283,83,-176,-56.43,1.49,4.97,4.32,4.80E+20,1198.6,20.4,51,9.3,8.2512,0.6327447412
G105.798-00.603-036.76,,105.798,-0.603,203,124,114,-36.76,1.6,3.27,2.94,1.50E+21,3382.1,124.5,462,2.6,5.6154,0.6794574402
G105.835+01.482-050.15,,105.835,1.482,141,50,-146,-50.15,1.03,4.41,2.07,3.70E+20,197.5,14.7,77,12.8,3.9537,0.4374007271
G105.873-00.622-055.03,,105.873,-0.622,179,115,174,-55.03,1.37,4.84,3.93,5.10E+20,1648.4,33.9,94,5.2,7.5063,0.5817854332
G105.896+01.034-050.56,,105.896,1.034,185,103,83,-50.56,1.42,4.45,3.48,1.00E+21,3056.6,80.5,253,2.7,6.6468,0.6030184782
G105.945-00.807-053.69,,105.945,-0.807,250,138,-162,-53.69,0.88,4.72,4.98,5.00E+20,2342.9,30,65,1.9,9.5118,0.3737015921
G105.973+05.018-045.29,,105.973,5.018,197,49,99,-45.29,1.38,3.96,2.19,8.70E+20,933.5,61.9,308,5.2,4.1829,0.5860320422
G106.019+05.215-043.73,,106.019,5.215,82,42,76,-43.73,0.9,3.83,1.2,4.50E+20,158.5,34.9,316,7.2,2.292,0.3821948101
G106.037+00.693-042.31,,106.037,0.693,151,62,-146,-42.31,1.53,3.72,2.02,7.70E+20,593.3,46.1,249,9.2,3.8582,0.6497311772
G106.064+01.491-023.45,,106.064,1.491,1226,344,-154,-23.45,2.3,1.73,6.4,1.30E+21,10975.2,85.2,145,3.6,12.224,0.9767200703
G106.074+01.746+000.82,,106.074,1.746,146,77,-147,0.82,0.81,0.23,0.14,4.50E+20,2,33.3,2653,52.9,0.2674,0.3439753291
G106.117+03.385-065.38,,106.117,3.385,157,71,98,-65.38,1.94,5.75,3.41,5.40E+20,1445.6,39.5,126,10.4,6.5131,0.8238421463
G106.122+00.579-002.93,,106.122,0.579,3283,705,-147,-2.93,1.26,0.41,3.56,9.60E+20,2121.2,53.3,163,3.1,6.7996,0.5350727342
G106.180+00.689-043.98,,106.18,0.689,168,52,141,-43.98,1.07,3.86,2.01,3.50E+20,171.9,13.6,73,15.4,3.8391,0.4543871632
G106.248-00.322-055.54,,106.248,-0.322,130,62,-166,-55.54,0.9,4.86,2.43,6.30E+20,998.1,53.7,241,2.3,4.6413,0.3821948101
G106.255-01.315-006.50,,106.255,-1.315,185,78,174,-6.5,1.74,0.24,0.16,6.10E+20,2.7,33.3,2261,207.5,0.3056,0.7389099663
G106.274+00.516-012.89,,106.274,0.516,342,68,-165,-12.89,0.61,0.38,0.33,5.40E+20,9.5,27.7,914,14.9,0.6303,0.2590431491
G106.280+01.696-052.49,,106.28,1.696,122,80,45,-52.49,1.28,4.58,2.53,7.20E+20,1118.7,55.5,239,4.3,4.8323,0.5435659522
G106.302+01.185-003.87,,106.302,1.185,366,228,67,-3.87,0.96,0.29,0.48,7.50E+20,39.9,55.6,1271,12.8,0.9168,0.4076744641
G106.319-00.029-044.71,,106.319,-0.029,194,79,144,-44.71,1.22,3.91,2.73,9.60E+20,1671.9,71.5,286,2.8,5.2143,0.5180862982
G106.330+00.711-041.64,,106.33,0.711,97,34,-159,-41.64,1.52,3.65,1.13,5.00E+20,135,33.9,329,22.4,2.1583,0.6454845682
G106.342-00.084-055.73,,106.342,-0.084,687,543,-152,-55.73,1.82,4.87,16.99,9.40E+20,31730.3,35,22,2.1,32.4509,0.7728828383
G106.349-00.761-054.51,,106.349,-0.761,171,121,63,-54.51,1.25,4.76,3.87,4.60E+20,1179.5,25,70,6,7.3917,0.5308261252
G106.440+00.388-055.76,,106.44,0.388,484,148,131,-55.76,1.24,4.87,7.43,1.00E+21,8430.4,48.6,71,1.6,14.1913,0.5265795162
G106.475+00.931-053.87,,106.475,0.931,297,222,98,-53.87,0.99,4.7,6.89,1.30E+21,13916.7,93.3,148,0.6,13.1599,0.4204142911
G106.492+01.037-061.09,,106.492,1.037,662,296,-178,-61.09,1.52,5.34,13.5,1.10E+21,35141.5,61.4,49,1,25.785,0.6454845682
G106.500-00.937-056.52,,106.5,-0.937,239,127,-171,-56.52,1.49,4.93,4.89,6.60E+20,3112,41.5,92,4,9.3399,0.6327447412
G106.503+01.673-010.77,,106.503,1.673,1226,238,-163,-10.77,1.87,0.23,0.71,8.60E+20,78.6,49.5,761,36.7,1.3561,0.7941158833
G106.529+04.081-007.04,,106.529,4.081,3121,1925,141,-7.04,2.97,0.87,12.12,1.70E+21,42376.5,91.9,82,2.9,23.1492,1.261242873
G106.625-00.065-040.92,,106.625,-0.065,185,54,139,-40.92,0.84,3.57,2,7.90E+20,834.2,66.3,361,2,3.82,0.3567151561
G106.663+01.012-011.66,,106.663,1.012,1145,447,173,-11.66,1.37,0.65,2.65,1.60E+21,2135.5,96.5,397,2.7,5.0615,0.5817854332
G106.710+01.621-017.48,,106.71,1.621,383,303,115,-17.48,1.12,1.22,2.38,7.40E+20,674.3,38,174,5.1,4.5458,0.4756202082
G106.724+00.154-048.54,,106.724,0.154,232,120,101,-48.54,1.05,4.21,3.98,8.20E+20,3087.3,62.1,170,1.6,7.6018,0.4458939452
G106.838+00.000-045.56,,106.838,0,202,74,73,-45.56,1.46,3.95,2.73,6.10E+20,829.7,35.5,142,8.1,5.2143,0.6200049142
G106.851+00.346-052.84,,106.851,0.346,109,74,-162,-52.84,1.77,4.58,2.29,3.60E+20,280.1,17,81,29.6,4.3739,0.7516497933
G106.855+03.424-065.76,,106.855,3.424,205,122,92,-65.76,1.07,5.74,5.16,7.80E+20,3833.3,45.9,97,1.8,9.8556,0.4543871632
G106.892+00.540-049.91,,106.892,0.54,154,96,-169,-49.91,0.88,4.32,2.97,5.90E+20,933.5,33.8,124,2.8,5.6727,0.3737015921
G106.895-01.032-037.72,,106.895,-1.032,297,111,168,-37.72,1.01,3.28,3.39,1.60E+21,3650.6,101.3,326,1.1,6.4749,0.4289075091
G106.945+01.313-045.14,,106.945,1.313,127,64,153,-45.14,1.54,3.9,1.97,5.90E+20,430.3,35.2,195,12.6,3.7627,0.6539777862
G106.967+00.678-037.37,,106.967,0.678,185,66,125,-37.37,1,3.24,2.02,1.90E+21,2202.6,171.9,929,1.1,3.8582,0.4246609001
G106.981+00.460-056.67,,106.981,0.46,160,70,-154,-56.67,1.31,4.91,2.92,5.90E+20,880.1,32.8,122,6.6,5.5772,0.5563057792
G106.990+00.002-043.15,,106.99,0.002,151,72,153,-43.15,1.12,3.73,2.19,1.00E+21,1048.6,69.6,347,3.1,4.1829,0.4756202082
G106.995-02.784-055.19,,106.995,-2.784,199,112,131,-55.19,0.76,4.78,4.05,5.50E+20,1202.8,23.3,62,2.2,7.7355,0.3227422841
G107.075+02.489-010.98,,107.075,2.489,810,369,-159,-10.98,3.19,0.55,1.71,1.00E+21,556.1,60.9,390,36.2,3.2661,1.354668271
G107.158+00.677-052.34,,107.158,0.677,170,107,-160,-52.34,1.69,4.51,3.44,2.10E+21,7344.2,197.3,626,1.6,6.5704,0.7176769212
G107.197+04.778-080.74,,107.197,4.778,278,106,-165,-80.74,1.64,7.18,7.01,3.80E+20,2118.3,13.7,21,10.4,13.3891,0.6964438762
G107.200-00.841-005.41,,107.2,-0.841,174,83,62,-5.41,1.67,0.69,0.47,8.40E+20,50,73.3,1718,30.1,0.8977,0.7091837032
G107.212-03.055-057.81,,107.212,-3.055,290,86,156,-57.81,0.88,5,4.47,9.20E+20,3170.6,50.4,123,1.3,8.5377,0.3737015921
G107.230-00.931-041.35,,107.23,-0.931,290,107,140,-41.35,1.51,3.56,3.57,2.60E+21,7548.9,188.4,576,1.2,6.8187,0.6412379592
G107.317+03.032-006.13,,107.317,3.032,320,215,-178,-6.13,0.87,0.49,0.73,8.70E+20,111,66.7,1001,5.8,1.3943,0.3694549831
G107.336+00.025-050.51,,107.336,0.025,694,487,45,-50.51,1.91,4.34,14.4,1.20E+21,43805,67.2,50,1.4,27.504,0.8111023193
G107.425-01.103-033.24,,107.425,-1.103,158,100,-164,-33.24,0.55,2.87,2.04,7.80E+20,649.9,49.9,267,1.1,3.8964,0.2335634951
G107.469+00.518-051.06,,107.469,0.518,367,102,147,-51.06,2.17,4.38,4.82,1.30E+21,6552.8,89.8,203,4,9.2062,0.9215141533
G107.504+01.860+002.74,,107.504,1.86,155,56,117,2.74,1.02,0.24,0.13,3.80E+20,1.5,29.5,2543,103.4,0.2483,0.4331541181
G107.524-02.817-054.30,,107.524,-2.817,232,108,74,-54.3,0.55,4.66,4.18,9.20E+20,2362.2,43,112,0.6,7.9838,0.2335634951
G107.545-04.502-049.92,,107.545,-4.502,197,96,159,-49.92,1.32,4.28,3.33,5.00E+20,696.4,20,65,9.7,6.3603,0.5605523882
G107.549-00.814-039.16,,107.549,-0.814,169,46,132,-39.16,1.21,3.36,1.66,7.50E+20,503.7,58.3,384,5.6,3.1706,0.5138396892
G107.578+00.767-053.75,,107.578,0.767,243,163,155,-53.75,2.65,4.61,5.23,1.50E+21,10482.5,122,254,4.1,9.9893,1.125351385
G107.621+02.347-074.34,,107.621,2.347,299,93,-148,-74.34,0.93,6.53,6.17,5.30E+20,3186.6,26.6,47,1.9,11.7847,0.3949346371
G107.638+01.348+003.22,,107.638,1.348,2259,581,171,3.22,1.29,0.25,1.64,1.40E+21,642.3,75.7,503,5,3.1324,0.5478125612
G107.686-02.171-054.79,,107.686,-2.171,827,145,110,-54.79,0.92,4.7,9.29,1.20E+21,14088.3,51.9,61,0.6,17.7439,0.3906880281
G107.751+02.951-009.83,,107.751,2.951,454,412,74,-9.83,2.68,0.77,1.9,1.40E+21,954.8,83.8,480,16.6,3.629,1.138091212
G107.752+01.280-008.34,,107.752,1.28,237,127,167,-8.34,0.77,0.61,0.6,5.30E+20,31.9,27.8,502,13,1.146,0.3269888931
G107.773+00.242-048.59,,107.773,0.242,279,203,175,-48.59,1.33,4.15,5.63,5.70E+20,2876.1,28.9,56,4,10.7533,0.5647989972
G107.790-02.684-053.13,,107.79,-2.684,326,193,159,-53.13,1.17,4.54,6.49,1.10E+21,6152.5,46.5,78,1.7,12.3959,0.4968532532
G107.812+00.755-052.16,,107.812,0.755,213,136,68,-52.16,1.59,4.46,4.32,1.10E+21,4851.1,82.9,209,2.6,8.2512,0.6752108312
G107.866+01.904-011.09,,107.866,1.904,1291,603,170,-11.09,1.7,0.61,3.09,9.90E+20,1456.7,48.6,172,7.1,5.9019,0.7219235302
G107.947+00.998-056.37,,107.947,0.998,359,238,166,-56.37,1.58,4.82,8.03,1.00E+21,8545.6,42.2,57,2.7,15.3373,0.6709642222
G107.948-01.334-014.37,,107.948,-1.334,182,124,137,-14.37,0.58,0.27,0.23,6.30E+20,7.7,45.2,2118,11.6,0.4393,0.2463033221
G107.974+01.603-015.73,,107.974,1.603,184,147,-144,-15.73,1.16,0.71,0.66,5.50E+20,29.8,21.7,358,34.7,1.2606,0.4926066442
G108.002+00.255-054.31,,108.002,0.255,149,112,-136,-54.31,1.44,4.63,3.38,6.80E+20,1621.2,45.1,145,5,6.4558,0.6115116962
G108.012+03.408-007.19,,108.012,3.408,450,345,161,-7.19,1.5,0.82,1.84,6.70E+20,386.6,36.4,215,12.3,3.5144,0.6369913502
G108.024+04.351-000.11,,108.024,4.351,631,195,141,-0.11,0.62,0.29,0.58,5.70E+20,28.7,27,508,9.1,1.1078,0.2632897581
G108.034-00.226-051.30,,108.034,-0.226,207,72,63,-51.3,1.44,4.37,3.02,6.20E+20,1358.7,47.4,171,5.3,5.7682,0.6115116962
G108.049+04.469-008.32,,108.049,4.469,171,64,65,-8.32,0.84,0.33,0.19,4.40E+20,2.7,23.7,1353,57.9,0.3629,0.3567151561
G108.073-02.143-001.79,,108.073,-2.143,182,101,80,-1.79,0.63,0.24,0.19,3.90E+20,1.4,12.8,746,60.3,0.3629,0.2675363671
G108.095+00.794-057.23,,108.095,0.794,124,88,147,-57.23,0.81,4.89,2.86,6.30E+20,1067.2,41.5,158,2,5.4626,0.3439753291
G108.114-01.152-047.45,,108.114,-1.152,155,56,56,-47.45,0.69,4.03,2.1,5.90E+20,528.1,38.2,198,2.2,4.011,0.2930160211
G108.168+01.546-006.36,,108.168,1.546,257,181,-149,-6.36,0.89,0.71,0.87,9.60E+20,122.5,51.5,647,6.5,1.6617,0.3779482011
G108.171+00.171-046.54,,108.171,0.171,215,107,56,-46.54,1.07,3.95,3.4,1.10E+21,2884.8,79.5,255,1.6,6.494,0.4543871632
G108.178-00.145-003.44,,108.178,-0.145,411,106,94,-3.44,1.02,0.69,0.82,4.80E+20,54.7,25.9,345,18.1,1.5662,0.4331541181
G108.198+02.630-004.32,,108.198,2.63,531,295,167,-4.32,0.85,0.28,0.64,4.90E+20,26.1,20.5,351,20.3,1.2224,0.3609617651
G108.204-00.629-057.49,,108.204,-0.629,91,52,-177,-57.49,1.79,4.91,1.84,1.70E+21,2089.9,195.7,1160,3.3,3.5144,0.7601430113
G108.226+00.884-046.53,,108.226,0.884,279,57,-160,-46.53,0.47,3.94,2.81,4.30E+20,559.2,22.5,87,1.3,5.3671,0.1995906231
G108.282+03.255-065.56,,108.282,3.255,128,54,-140,-65.56,0.85,5.63,2.6,5.20E+20,851.6,40.2,169,2.6,4.966,0.3609617651
G108.291-01.970-032.11,,108.291,-1.97,668,254,-170,-32.11,1.17,2.72,6.4,7.80E+20,3544.7,27.5,46,2.9,12.224,0.4968532532
G108.348+02.298-009.10,,108.348,2.298,224,180,172,-9.1,1.17,0.71,0.81,5.50E+20,76.9,37.4,505,16.8,1.5471,0.4968532532
G108.375+05.206+002.66,,108.375,5.206,201,166,135,2.66,1.33,0.27,0.28,5.30E+20,4.4,17.5,670,131.1,0.5348,0.5647989972
G108.383+03.352-077.25,,108.383,3.352,150,36,46,-77.25,1.3,6.77,2.74,4.10E+20,565.7,23.9,95,9.5,5.2334,0.5520591702
G108.408+00.965-054.04,,108.408,0.965,178,82,110,-54.04,1.15,4.58,3.13,7.00E+20,995.2,32.4,113,4.8,5.9783,0.4883600352
G108.408-03.018-002.45,,108.408,-3.018,131,67,157,-2.45,0.39,0.27,0.14,3.60E+20,1.3,20.1,1527,19.6,0.2674,0.1656177511
G108.417-02.250-002.09,,108.417,-2.25,125,48,120,-2.09,1.47,0.26,0.11,3.80E+20,1,26.3,2611,274.5,0.2101,0.6242515232
G108.421+02.494-065.37,,108.421,2.494,321,92,-150,-65.37,0.73,5.61,5.48,6.10E+20,2826.7,29.9,59,1.2,10.4668,0.3100024571
G108.441-00.521-003.92,,108.441,-0.521,214,144,51,-3.92,0.78,0.55,0.55,5.60E+20,23.2,24.8,497,16.4,1.0505,0.3312355021
G108.470-02.843-053.33,,108.47,-2.843,238,48,116,-53.33,1.02,4.52,2.71,1.80E+21,3870.6,167.9,677,0.8,5.1761,0.4331541181
G108.482+00.363-009.77,,108.482,0.363,633,430,-153,-9.77,1.3,0.73,2.17,1.10E+21,844.2,57,286,5,4.1447,0.5520591702
G108.504+01.913-053.79,,108.504,1.913,243,104,140,-53.79,1.38,4.55,4.11,8.90E+20,3534.2,66.7,177,2.6,7.8501,0.5860320422
G108.507+02.650-006.78,,108.507,2.65,140,93,48,-6.78,0.63,0.29,0.19,3.50E+20,2,17.9,1049,43.9,0.3629,0.2675363671
G108.523+03.439-006.66,,108.523,3.439,481,254,94,-6.66,2.57,0.82,1.63,8.50E+20,240.4,28.8,192,51.9,3.1133,1.091378513
G108.527+03.436-064.71,,108.527,3.436,83,47,68,-64.71,1.45,5.53,1.88,6.70E+20,645.6,58.4,339,7.1,3.5908,0.6157583052
G108.534+01.764-005.16,,108.534,1.764,162,47,-141,-5.16,0.7,0.69,0.34,4.00E+20,9,25.2,817,21,0.6494,0.2972626301
G108.562+05.102+002.26,,108.562,5.102,261,48,93,2.26,0.73,0.24,0.15,4.70E+20,1.9,25.4,1796,49.9,0.2865,0.3100024571
G108.601+01.479-035.82,,108.601,1.479,184,66,68,-35.82,0.58,3.01,1.86,6.40E+20,594.4,54.5,319,1.2,3.5526,0.2463033221
G108.611-01.008-051.24,,108.611,-1.008,1205,332,156,-51.24,2.36,4.33,15.65,3.30E+21,193085.4,251,175,0.5,29.8915,1.002199724
G108.637-00.686-055.79,,108.637,-0.686,86,37,51,-55.79,1.2,4.73,1.44,6.60E+20,355.2,54.9,417,6.7,2.7504,0.5095930802
G108.648+03.247-012.44,,108.648,3.247,66,62,50,-12.44,0.98,0.82,0.29,6.80E+20,16.1,63.1,2415,19.8,0.5539,0.4161676821
G108.694+04.560-006.68,,108.694,4.56,546,289,173,-6.68,1.3,0.41,0.93,9.50E+20,185.6,68.3,802,9.9,1.7763,0.5520591702
G108.721+00.154-013.57,,108.721,0.154,424,104,169,-13.57,0.58,0.71,0.85,7.20E+20,57.3,25.4,328,5.7,1.6235,0.2463033221
G108.745+02.689-010.98,,108.745,2.689,1214,402,-166,-10.98,1.69,0.75,2.99,2.60E+21,4549.4,161.9,591,2.2,5.7109,0.7176769212
G108.754+00.966-048.89,,108.754,0.966,184,64,149,-48.89,0.69,4.11,2.51,5.50E+20,675.9,34.2,149,2,4.7941,0.2930160211
G108.758-04.060-045.72,,108.758,-4.06,107,92,-145,-45.72,1.66,3.84,2.13,9.20E+20,853.2,59.9,307,8,4.0683,0.7049370942
G108.822-00.733-008.97,,108.822,-0.733,549,232,67,-8.97,1.05,0.71,1.44,7.00E+20,177.1,27.1,205,10.4,2.7504,0.4458939452
G108.854+03.884-008.88,,108.854,3.884,325,125,141,-8.88,0.81,0.61,0.7,7.10E+20,63.2,40.8,633,8.5,1.337,0.3439753291
G108.867+01.635-033.94,,108.867,1.635,559,270,68,-33.94,1.04,2.84,6.3,8.60E+20,5566.3,44.6,77,1.4,12.033,0.4416473361
G108.870+00.046-012.19,,108.87,0.046,483,76,172,-12.19,0.68,0.73,0.8,7.20E+20,61.4,30.9,425,7,1.528,0.2887694121
G108.870+02.960-009.76,,108.87,2.96,228,96,-179,-9.76,1.48,0.71,0.59,3.80E+20,14.8,13.4,247,101,1.1269,0.6284981322
G108.872+02.208-008.55,,108.872,2.208,233,212,86,-8.55,3.03,0.22,0.28,1.10E+21,22.5,94.5,3751,130.1,0.5348,1.286722527
G108.877+00.565-002.39,,108.877,0.565,462,222,132,-2.39,1.27,0.26,0.47,6.70E+20,22.4,31.9,738,39.4,0.8977,0.5393193432
G108.893-02.295-033.54,,108.893,-2.295,182,138,102,-33.54,0.81,2.81,2.52,5.30E+20,419.4,20.9,90,4.6,4.8132,0.3439753291
G108.905-01.719-044.72,,108.905,-1.719,121,75,155,-44.72,0.74,3.75,2,5.30E+20,439.2,35.1,192,2.9,3.82,0.3142490661
G108.916+03.524-062.71,,108.916,3.524,229,49,147,-62.71,0.61,5.32,3.17,6.10E+20,1389.7,44.2,152,1,6.0547,0.2590431491
G108.921-02.351-045.04,,108.921,-2.351,127,37,176,-45.04,1.41,3.78,1.42,6.00E+20,255.1,40.5,312,12.7,2.7122,0.5987718692
G108.931+01.608-028.90,,108.931,1.608,194,111,73,-28.9,0.75,2.41,2.01,7.30E+20,569.1,45,244,2.3,3.8391,0.3184956751
G108.932-00.191-002.83,,108.932,-0.191,1023,266,168,-2.83,0.79,0.29,0.86,6.10E+20,43.7,18.6,235,14.3,1.6426,0.3354821111
G108.942-02.866-036.84,,108.942,-2.866,167,45,-173,-36.84,1.37,3.08,1.49,6.10E+20,321.4,45.8,335,10.1,2.8459,0.5817854332
G108.964+00.779-009.15,,108.964,0.779,819,261,-161,-9.15,2.54,0.77,2.04,1.40E+21,1532,117.3,628,10,3.8964,1.078638686
G108.974+02.701-000.76,,108.974,2.701,621,220,-155,-0.76,0.87,0.26,0.55,5.20E+20,18.9,19.5,384,25.6,1.0505,0.3694549831
G109.001+02.418-002.35,,109.001,2.418,520,152,-176,-2.35,1.51,0.26,0.41,5.30E+20,12.5,23.2,611,87.6,0.7831,0.6412379592
G109.078-04.161-004.50,,109.078,-4.161,181,162,176,-4.5,0.39,0.22,0.21,2.50E+20,1.4,9.7,503,27.1,0.4011,0.1656177511
G109.090-01.153-045.36,,109.09,-1.153,183,57,89,-45.36,0.76,3.79,2.17,4.70E+20,382.2,25.8,129,3.8,4.1447,0.3227422841
G109.164-00.300-053.48,,109.164,-0.3,95,50,103,-53.48,1.3,4.49,1.69,3.90E+20,234.2,26.1,168,14.1,3.2279,0.5520591702
G109.177+04.928-076.55,,109.177,4.928,88,55,139,-76.55,1.12,6.64,2.54,7.10E+20,1178,58.1,250,3.1,4.8514,0.4756202082
G109.183-01.782-045.23,,109.183,-1.782,210,133,-146,-45.23,0.88,3.78,3.6,5.10E+20,993.5,24.4,74,3.3,6.876,0.3737015921
G109.197+02.139-052.28,,109.197,2.139,98,69,63,-52.28,1.46,4.38,2.01,3.40E+20,236.6,18.7,101,20.8,3.8391,0.6200049142
G109.203-01.106-053.87,,109.203,-1.106,139,58,149,-53.87,1.06,4.52,2.26,5.30E+20,788.2,49.2,237,3.7,4.3166,0.4501405542
G109.269-04.371-045.98,,109.269,-4.371,276,77,140,-45.98,0.69,3.83,3.16,5.50E+20,802.6,25.6,88,2.2,6.0356,0.2930160211
G109.276-01.506-047.14,,109.276,-1.506,95,40,123,-47.14,1.08,3.93,1.32,3.90E+20,136.4,25,207,13.1,2.5212,0.4586337722
