ncl,ra,dec,vlsr,maj,min,pa,r,delta r,fwhm,delta vel disp,lco,delta l,mvir,delta mvir,nvox,tpk
C577,85.105,-69.672,233,7.3,3.7,74,,,1.2,0.74,9.5,0.52,0,0,66,1.07
C578,85.111,-69.086,276.3,11.7,7.7,120,15.6,0.31,0.78,0.27,16,0.37,10000,590,150,1.16
C579,85.112,-70.525,237.3,8.4,4.4,101,,,0.84,0.75,5.9,0.73,0,0,17,1.19
C580,85.113,-69.988,236.3,13.6,5.8,106,12.7,0.46,1.05,0.42,19.8,0.29,14400,860,144,1.39
C581,85.115,-69.926,237.9,6.6,4,155,,,1.06,0.62,10.3,0.74,0,0,77,1.16
C582,85.135,-69.011,278.5,8.9,5.8,11,9.9,0.24,1.65,0.14,33.3,0.08,28200,360,313,2.41
C583,85.142,-69.103,272.6,6.7,5.9,151,8,0.6,1.41,0.47,9.1,0.54,16600,1090,80,1.01
C584,85.148,-70.622,232.4,12.6,9.5,106,18.9,0.2,1.94,0.2,56.6,0.19,74300,490,486,1.66
C585,85.165,-70.53,244.5,6.5,5.8,142,7.7,0.48,2.09,0.23,29.9,0.27,34900,690,165,2.24
C586,85.17,-70.551,228.7,11.8,7.3,57,14.9,0.27,1.84,0.24,33.4,0.25,52600,620,161,1.47
C587,85.184,-70.465,229.2,14.4,7.9,172,17.9,0.46,1.2,0.51,115.8,0.59,26600,1080,93,3.67
C588,85.19,-70.587,230.3,9.5,5.8,57,10.3,0.25,1.47,0.23,16.4,0.26,23200,560,167,1.48
C589,85.191,-70.041,233.5,5.2,3.7,90,,,1.09,0.54,3.9,0.62,0,0,48,0.94
C590,85.199,-70.272,227.7,14.2,7.5,36,17,0.39,2.07,0.3,65.4,0.37,75500,810,165,1.69
C591,85.199,-70.425,230.2,14.4,5.9,19,13.5,0.44,1.61,0.38,97.6,0.63,36400,870,94,3.3
C592,85.21,-70.549,235.2,10.5,5.9,134,11.2,0.24,2.89,0.18,64.6,0.2,97400,490,346,1.9
C593,85.211,-70.664,213.7,8.1,5.7,14,9.1,0.4,0.47,0.56,5.7,0.35,2100,1230,52,1.17
C594,85.23,-70.733,237.6,11.1,8.4,7,16.1,0.09,2.27,0.07,100.9,0.04,86300,190,832,3.58
C595,85.231,-69.753,232.1,14.3,5.2,160,11,0.14,2.09,0.17,39,0.08,50000,410,352,1.97
C596,85.244,-70.973,217.6,10,5.4,47,9.4,0.22,0.89,0.22,12.4,0.18,7700,530,149,1.55
C597,85.249,-70.386,230.2,15.8,9.6,180,21.6,0.18,1.76,0.2,243.9,0.33,69300,420,362,4.4
C598,85.251,-70.345,230,23,17.5,122,37.3,0.43,1.66,1.22,178,0.92,107300,2370,47,2.71
C599,85.276,-70.83,230.7,22.5,4.6,4,,,2.26,0.4,21.8,0.41,0,0,107,0.74
C600,85.277,-70.068,228.1,11.4,5,124,8.4,0.28,1.99,0.14,28.3,0.09,34500,400,300,2.05
C601,85.277,-70.871,236.3,10.5,6.7,5,12.8,0.69,1.75,0.74,31.3,0.65,40700,1610,66,1.26
C602,85.278,-70.781,230.3,15.6,5.1,124,11,0.39,1.28,0.37,15.8,0.24,18600,840,107,1.21
C603,85.286,-70.901,234,7.1,4.6,139,2.4,0.91,3.05,0.37,28.2,0.4,23100,1080,67,1.61
C604,85.287,-70.644,214.6,5.9,3.4,177,,,1.17,0.39,5.5,0.39,0,0,51,1.04
C605,85.29,-70.31,223.5,5.8,4.7,30,3.4,1.2,2.49,0.47,18.9,0.59,21600,1460,48,1.51
C606,85.321,-70.926,234.1,6.8,4,144,,,3.1,0.53,20.4,1.1,0,0,44,1.71
C607,85.326,-71.283,218.1,9.8,3.6,147,,,1.82,0.88,13,1.62,0,0,12,2.37
C608,85.341,-71.254,219.2,3.4,4.1,150,,,0.78,0.66,6.9,0.71,0,0,40,1.24
C609,85.354,-71.296,219.6,6.2,8.6,168,10.5,1.17,0.57,1.79,66.7,1.18,3500,3510,22,2.44
C610,85.374,-70.701,230.8,16.2,7.3,141,17.9,0.23,3.39,0.23,44.5,0.22,213800,630,313,1.27
C611,85.4,-71.317,221.1,6.2,4.8,139,4.4,1.26,1.79,0.59,15.8,0.9,14800,1830,35,1.74
C612,85.419,-71.401,215.8,9.3,5.6,91,9.7,0.47,1.19,0.33,11.5,0.24,14300,860,81,1.64
C613,85.421,-70.726,224.1,8.4,5.8,161,9.4,0.39,1.75,0.31,21.6,0.54,30200,810,157,1.05
C614,85.424,-68.976,252.3,12.4,8,26,16.6,0.14,1.39,0.13,34.5,0.12,33600,270,379,1.56
C615,85.431,-70.465,232.6,10.9,8.4,153,15.8,0.16,2.07,0.14,42.5,0.13,70500,360,425,1.54
C616,85.441,-70.887,221.5,5.9,3.4,123,,,0.68,0.47,3.7,0.54,0,0,41,0.75
C617,85.474,-70.811,218.4,15.7,8.4,140,19.6,0.12,2.49,0.13,56.6,0.13,126300,280,553,1.46
