ncl,mass,mass error,R,velocity disp,R take 2,area,density,velocity metric
101,120000,100000,97.63481213,2.12931425,47.33512349,7039.096217,17.04764309,0.09578466984
102,120000,80000,92.29380553,3.456006247,34.86399024,3818.599007,31.4251378,0.342587842
103,180000,60000,126.9108606,3.456006247,94.25393369,27909.29343,6.4494646,0.1267212806
104,110000,90000,111.5123156,2.232482738,71.92834153,16253.61492,6.767725244,0.06929089521
105,500000,70000,115.628658,3.961562719,78.22112385,19221.97356,26.01189719,0.2006360738
106,70000,70000,87.55676182,3.050242478,18.82939765,1113.839787,62.84566309,0.4941198517
107,150000,80000,106.748848,2.948555439,64.21085201,12952.8918,11.58042561,0.1353973496
108,80000,100000,105.6953005,1.92197273,62.42476524,12242.31946,6.534709393,0.05917489895
109,550000,140000,176.2765627,3.050242478,154.947819,75425.95331,7.291919769,0.06004588664
110,60000,80000,97.02281453,2.232482738,46.04591856,6660.888361,9.00780748,0.1082393257
111,130000,70000,98.81091306,2.744809497,49.74024845,7772.590244,16.72544106,0.1514664564
112,140000,180000,94.1717396,2.846748878,39.61519299,4930.300892,28.39583285,0.2045674541
114,130000,50000,107.8088426,3.050242478,65.97623675,13674.92499,9.506450685,0.1410201556
115,50000,70000,104.6138927,1.817685115,60.55593295,11520.28628,4.340169921,0.05456078399
116,220000,240000,151.113886,3.557243199,125.2352283,49272.30692,4.464982741,0.1010416905
117,130000,90000,108.4099006,3.759518477,66.96413529,14087.51537,9.228028971,0.2110678965
118,60000,110000,95.3337639,2.232482738,42.33081166,5629.412386,10.65830603,0.1177388049
119,70000,70000,110.1278645,3.557243199,69.73949968,15279.44317,4.581318784,0.1814463716
120,400000,110000,147.1070921,3.658412111,120.3176683,45478.7675,8.795313111,0.1112386848
121,190000,110000,120.5204818,3.050242478,85.3576957,22889.44369,8.300769673,0.1089998869
122,170000,120000,139.2013884,2.438027723,110.4037256,38292.81827,4.439474754,0.05383857425
123,230000,120000,113.6764995,3.050242478,75.27403148,17800.82888,12.92074664,0.1236014465
124,1000000,110000,184.2372833,4.062508976,164.0398309,84537.32444,11.8290945,0.1006095842
125,230000,140000,120.2956214,3.25330281,85.03654929,22717.53103,10.12433965,0.1244638836
126,350000,70000,118.7096733,3.860567209,82.75363566,21514.14239,16.26836867,0.1801005969
127,90000,60000,104.1643247,1.92197273,59.76763686,11222.30434,8.019743299,0.0618056756
128,190000,180000,95.3337639,4.566615725,42.33081166,5629.412386,33.75130244,0.4926430267
130,60000,50000,118.6184073,2.232482738,82.62127823,21445.37733,2.79780575,0.06032319134
131,240000,100000,133.765902,2.642721926,103.3905872,33582.41131,7.146598194,0.06754946816
132,440000,70000,132.7500152,3.050242478,102.058836,32722.84795,13.4462624,0.0911628972
133,50000,40000,95.3337639,1.176426443,42.33081166,5629.412386,8.881921695,0.03269436898
134,270000,170000,149.4081207,2.948555439,123.1496334,47644.86705,5.666927347,0.0705968742
135,220000,80000,114.814052,2.744809497,76.99898061,18626.00966,11.81144024,0.09784518074
136,1070000,110000,297.7464131,8.381764682,286.6984855,258226.4176,4.143650406,0.2450448214
137,80000,80000,85.57591098,3.151821565,2.824308002,25.05959141,3192.390438,3.51731439
138,140000,90000,109.0407563,2.744809497,67.99134662,14523.02745,9.639863346,0.1108079123
139,190000,100000,107.4566728,4.163409561,65.39307085,13434.24726,14.14295839,0.2650736377
140,160000,90000,144.4324636,2.025828022,116.9972295,43003.22517,3.720651169,0.0350775757
141,90000,110000,106.5626883,5.27105105,63.89760884,12826.82252,7.016546762,0.434820327
142,160000,40000,103.0843661,3.759518477,57.84451759,10511.732,15.22108821,0.2443443176
143,130000,110000,128.8586301,2.232482738,96.8877795,29490.88993,4.408140965,0.05144074104
144,120000,60000,99.50264589,3.961562719,51.11477395,8208.102322,14.61970079,0.307034111
145,90000,40000,88.1320971,3.557243199,21.37037706,1434.743423,62.72898593,0.5921270898
146,90000,50000,89.91633077,2.025828022,27.88773594,2443.29771,36.83546203,0.1471607155
147,110000,60000,97.50531544,2.438027723,47.06460683,6958.870309,15.80716339,0.1262940366
148,100000,90000,87.37102803,6.877788829,17.93636852,1010.692189,98.94209244,2.637321993
149,90000,90000,88.74438878,3.25330281,23.79361292,1778.568748,50.6024859,0.4448243825
