ncl,vel disp,r,pa,maj,min,lco,mvir,mco,mvir,mlum,area,density
212,9.4,46,112,47,21,4,8,6,800000,600000,6647.610055,120.3440023
213,5.4,55,28,43,27,0.4,3,0.6,300000,60000,9503.317777,31.5679226
215,7.3,46,34,34,25,2,5,3,500000,300000,6647.610055,75.21500146
216,12,80,56,59,35,10,20,20,2000000,2000000,20106.19298,99.47183943
217,7,24,94,21,20,0.8,2,1,200000,100000,1809.557368,110.524266
220,7.7,31,95,24,22,3,3,5,300000,500000,3019.07054,99.36833075
221,5.3,28,73,31,18,0.7,1,1,100000,100000,2463.00864,40.60075079
223,7.7,39,123,34,21,2,4,4,400000,400000,4778.362426,83.7106867
224,3.9,28,154,33,18,0.5,0.8,0.9,80000,90000,2463.00864,32.48060063
225,9.5,73,125,57,31,8,10,10,1000000,1000000,16741.54725,59.73163561
226,6.7,55,5,43,26,4,5,6,500000,600000,9503.317777,52.61320433
227,7.2,47,133,45,21,2,5,4,500000,400000,6939.778172,72.04841245
230,6.3,82,79,78,29,3,6,4,600000,400000,21124.069,28.40361864
