ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,WCO,errWCO,COmax,xcomass,total surface density,lte mass,err lte mass,meansigv,errsigv,ellipse a,ellipse b,ellipse R,ellipse R error,xco alphavir,lte alphavir,lte alphavir err,area,perimeter
145,2,1321,1065,35,1757,2921,1.49E+04,45.71,5.996,3.43E+04,-0.01811,-601.1,60.11,12.4,0.5915,26.18,11.19,21.54,11.95,111.7,-6377,3646,3918,522.6
146,2,2020,2307,41,907,1739,8846,35.27,5.974,2.04E+04,0.00159,31.45,3.145,7.131,0.3324,22.01,22.01,31.14,7.496,89.71,5.83E+04,1.62E+04,2022,301.6
147,2,228,2071,35,1916,3101,1.55E+04,47.09,5.969,3.59E+04,-0.0189,-656.6,65.66,10.68,0.5159,35.94,35.94,55.71,15.67,204.9,-1.12E+04,3517,4272,582.4
148,2,1637,2130,39,2290,4335,2.20E+04,55.68,5.953,5.08E+04,0.009272,455.8,45.58,12.4,0.5959,49.24,49.24,78.08,24.49,273.8,3.05E+04,1.05E+04,5106,606.2
149,2,1090,2052,52,928,1828,9371,36.16,5.948,2.17E+04,0.0292,611.8,61.18,10.71,0.5279,22.66,8.177,13.39,18.62,82.07,2905,4061,2069,283.7
150,2,1835,268,29,1222,2280,1.14E+04,40.38,5.946,2.62E+04,0.02674,678.8,67.88,12.44,0.6016,25.07,12.11,22.19,15.48,151.5,5857,4167,2725,388.2
151,2,437,2103,40,2836,6478,3.24E+04,68.06,5.943,7.50E+04,-0.008146,-590.8,59.08,17.7,0.8531,49.61,49.61,78.69,13.54,381.1,-4.84E+04,1.07E+04,6323,806.3
152,2,955,1384,41,728,812,4128,24.1,5.929,9540,0.01366,126,12.6,5.25,0.2074,21.05,11.96,18.84,10.89,63.05,4772,2824,1623,247.9
153,2,1331,1820,39,627,986,4974,26.55,5.923,1.15E+04,-0.001806,-20.08,2.008,6.978,0.2972,12.06,12.06,8.597,3.362,42.18,-2.41E+04,9959,1398,283.7
154,2,1218,2158,38,765,961,4744,26.22,5.903,1.10E+04,0.0006315,6.698,0.6698,7.094,0.3244,28.38,11.97,24.23,18.98,128.8,2.11E+05,1.68E+05,1706,394.2
155,2,1048,488,56,434,855,4296,24.73,5.889,9927,0.0144,138.3,13.83,10.56,0.4914,10.24,10.24,nan,3.682,nan,nan,nan,967.7,176.2
156,2,1627,262,45,367,555,2834,19.92,5.875,6550,-0.002315,-14.67,1.467,5.229,0.2029,12.59,9.742,3.732,9.341,18.04,-8056,2.02E+04,818.3,164.3
157,2,1451,2009,62,501,776,3960,23.56,5.781,9152,0.02376,210.4,21.04,7.074,0.3187,22.82,22.82,32.65,14.87,206.8,8994,4270,1117,224
158,2,1253,1092,36,486,770,3911,23.47,5.74,9038,-0.005687,-49.73,4.973,nan,nan,21.18,21.18,29.58,8.674,nan,nan,nan,1084,164.3
159,2,872,2202,57,425,526,2679,19.4,5.73,6190,0.01873,112.2,11.22,5.301,0.2181,13.61,7.198,nan,7.458,nan,nan,nan,947.6,191.1
160,2,1138,2409,42,423,510,2577,19.1,5.722,5955,0.002954,17.02,1.702,nan,nan,18.15,18.15,23.66,7.134,nan,nan,nan,943.2,164.3
161,2,708,980,48,853,1246,6275,29.85,5.721,1.45E+04,0.01714,240.5,24.05,7.018,0.3049,18.38,18.38,24.13,5.768,94.92,5724,1564,1902,268.8
162,2,572,1919,29,434,620,3070,21.06,5.523,7094,0.005715,39.23,3.923,7.059,0.3148,13.65,10.66,8.629,9.562,70.21,1.27E+04,1.42E+04,967.7,188.1
163,2,1943,1900,39,556,873,4371,24.99,5.521,1.01E+04,0.001389,13.58,1.358,8.875,0.4229,13.67,13.67,13.56,7.951,122.5,9.11E+04,5.49E+04,1240,197.1
