ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,WCO,errWCO,COmax,xcomass,total surface density,lte mass,err lte mass,meansigv,errsigv,ellipse a,ellipse b,ellipse R,ellipse R error,xco alphavir,lte alphavir,lte alphavir err,area,perimeter
40,2,998,1224,45,7821,2.84E+04,1.72E+05,142.6,10.52,3.97E+05,0.3221,1.24E+05,1.24E+04,20.46,0.9024,50.45,50.45,80.09,16.33,97.87,314.1,76.52,1.74E+04,1180
41,2,1220,1609,23,2277,7755,4.98E+04,74.47,10.32,1.15E+05,0.1509,1.68E+04,1679,16.69,0.6459,25.46,16.8,28.63,8.813,80.35,550.3,183.1,5077,421.1
42,2,1143,642,48,1.42E+04,7.48E+04,4.31E+05,231.3,10.3,9.95E+05,1.437,1.38E+06,1.38E+05,36.45,1.66,65.65,65.65,105.2,26.31,162.8,117.1,33.29,3.18E+04,1774
43,2,1199,1034,39,4624,1.07E+04,6.18E+04,87.55,10.27,1.43E+05,0.1732,2.39E+04,2392,17,0.7088,67.39,22.38,60.62,42.28,142.2,848.4,602,1.03E+04,1033
44,2,1460,1987,61,897,2135,1.30E+04,39.08,10.26,3.01E+04,0.127,3696,369.6,8.412,0.3346,19.56,11.55,16.93,1.532,46.13,375.5,58.79,2000,238.9
45,2,1444,1895,57,2420,6312,3.88E+04,67.19,10.05,8.97E+04,0.1517,1.32E+04,1316,11.81,0.4904,28.93,28.93,43.6,10.18,78.55,535.3,143.1,5396,486.8
46,2,767,972,51,1257,3791,2.18E+04,52.07,9.553,5.04E+04,0.05453,2660,266,8.537,0.3492,35.02,35.02,54.14,19.67,90.63,1718,662.4,2803,289.7
47,2,576,1488,40,7473,2.09E+04,1.18E+05,122.3,9.499,2.73E+05,0.1597,4.22E+04,4222,34.08,1.75,99.15,99.15,160.2,36.17,788.7,5105,1365,1.67E+04,1290
48,2,1124,1307,63,1.09E+04,3.50E+04,2.00E+05,158.2,9.484,4.62E+05,0.6138,2.75E+05,2.75E+04,33.07,1.515,113.4,34.1,99.53,30.17,272.7,459.1,152.5,2.44E+04,1660
50,2,928,1754,41,4769,9680,5.47E+04,83.2,9.167,1.26E+05,0.1884,2.30E+04,2304,20.67,0.9116,41.52,41.52,65.16,15.3,255.1,1400,377.9,1.06E+04,892.9
51,2,1355,1467,19,255,500,3075,18.91,9.031,7105,0.01418,97.47,9.747,6.484,0.1983,11.1,7.533,nan,4.608,nan,nan,nan,568.6,113.5
52,2,1151,1655,17,928,1603,9576,33.86,9.007,2.21E+04,0.03879,830.5,83.05,6.635,0.2331,21.96,21.96,31.06,3.225,71.55,1907,305.8,2069,322.5
53,2,1458,1742,25,1463,3615,2.08E+04,50.85,8.888,4.81E+04,0.05841,2720,272,10.21,0.4123,47.82,47.82,75.71,18.3,189.8,3359,919.6,3262,474.8
55,2,1016,1512,47,2342,3581,2.09E+04,50.61,8.633,4.82E+04,0.1015,4734,473.4,5.138,0.1796,33.53,33.53,51.57,15.39,32.69,333,107.4,5222,445
56,2,1488,712,38,3447,9702,5.40E+04,83.3,8.383,1.25E+05,0.1587,1.92E+04,1917,17.28,0.763,45.16,26.22,53.09,19.49,147,957.6,374,7686,725.7
57,2,1555,909,44,2976,6516,3.72E+04,68.26,7.916,8.60E+04,0.08611,7163,716.3,15.46,0.6651,46.55,19.93,46.27,17.25,148.9,1787,706.5,6636,669
58,2,872,1455,47,1984,6484,3.58E+04,68.1,7.881,8.27E+04,0.07324,5859,585.9,24.43,1.144,22.54,13.33,22,11.76,183.9,2596,1432,4424,445
60,2,982,2312,57,329,536,2939,19.58,7.42,6792,0.02368,155.6,15.56,5.147,0.1826,11.94,9.454,nan,11.09,nan,nan,nan,733.6,134.4
68,2,474,1955,13,664,1646,8768,34.31,7.256,2.03E+04,0.04061,796.2,79.62,12.27,0.5671,15.43,10.27,10.43,4.488,89.76,2284,1031,1481,215
69,2,1555,852,42,992,1593,8649,33.75,7.24,2.00E+04,0.03087,597,59.7,5.254,0.207,37.88,37.88,59.01,18.8,94.4,3160,1084,2212,289.7
73,2,861,1578,44,842,1661,8880,34.47,7.115,2.05E+04,0.03334,662,66.2,8.688,0.3801,28.04,9.64,20.1,20.31,85.63,2654,2704,1877,244.9
74,2,454,1759,41,541,1120,6091,28.3,7.109,1.41E+04,0.01487,202.5,20.25,5.319,0.224,18.18,13.39,18.24,6.828,42.47,2953,1171,1206,167.2
80,2,1110,1134,37,1483,2876,1.60E+04,45.35,6.954,3.69E+04,0.06146,2193,219.3,5.333,0.2262,44.26,15.28,38.43,4.23,34.31,577,98.79,3307,322.5
81,2,891,2170,52,807,961,4987,26.22,6.929,1.15E+04,0.02014,224.6,22.46,5.186,0.1905,34.73,34.73,53.63,16.11,145,7439,2418,1799,340.5
86,2,1169,1888,18,709,1006,5339,26.82,6.854,1.23E+04,0.0219,261.4,26.14,7.137,0.3357,21.51,21.51,30.2,12.67,144.4,6816,3009,1581,218
91,2,450,1910,13,333,601,3188,20.73,6.782,7367,0.0144,102.6,10.26,8.66,0.3699,14.51,14.51,15.7,5.124,185.1,1.33E+04,4676,742.5,134.4
97,2,1789,303,36,2333,5434,2.84E+04,62.34,6.73,6.56E+04,0.05726,3635,363.5,13.93,0.6296,32.46,17.63,34.67,16.45,118.7,2143,1057,5202,418.1
99,2,855,2206,54,2022,3989,2.11E+04,53.41,6.716,4.87E+04,0.1657,7800,780,12.19,0.5484,26.46,17.45,30.16,10.43,106.7,665.4,246.9,4508,570.4
115,2,1177,2021,54,1602,2713,1.40E+04,44.05,6.474,3.24E+04,0.02024,633.7,63.37,12.41,0.602,10.75,10.75,nan,23.35,nan,nan,nan,3572,451
125,2,1006,1470,36,972,1438,7439,32.07,6.304,1.72E+04,0.03212,534.3,53.43,5.226,0.2,40.07,40.07,62.7,6.871,115.4,3712,619.6,2167,361.4
128,2,904,2293,57,668,1010,5191,26.88,6.263,1.20E+04,0.03224,374.2,37.42,8.752,0.3914,18.04,18.04,23.45,9.597,173.4,5560,2394,1489,253.8
149,2,1090,2052,52,928,1828,9371,36.16,5.948,2.17E+04,0.0292,611.8,61.18,10.71,0.5279,22.66,8.177,13.39,18.62,82.07,2905,4061,2069,283.7
155,2,1048,488,56,434,855,4296,24.73,5.889,9927,0.0144,138.3,13.83,10.56,0.4914,10.24,10.24,nan,3.682,nan,nan,nan,967.7,176.2
157,2,1451,2009,62,501,776,3960,23.56,5.781,9152,0.02376,210.4,21.04,7.074,0.3187,22.82,22.82,32.65,14.87,206.8,8994,4270,1117,224
159,2,872,2202,57,425,526,2679,19.4,5.73,6190,0.01873,112.2,11.22,5.301,0.2181,13.61,7.198,nan,7.458,nan,nan,nan,947.6,191.1
