ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,WCO,errWCO,COmax,xcomass,meansigv,errsigv,ellipse a,ellipse b,ellipse R,ellipse R error,xco alphavir,area,perimeter
127,2,592,1513,41,84,85,684,7.797,8.631,1581,nan,nan,9.131,5.448,nan,1.331,nan,187.3,65.7
128,2,1193,838,38,163,204,1615,12.08,8.625,3733,nan,nan,8.214,5.614,nan,1.879,nan,363.4,98.55
129,2,1010,1489,47,122,122,983.9,9.341,8.606,2274,nan,nan,7.168,11.95,nan,4.267,nan,272,77.65
130,2,721,1611,35,78,80,643.5,7.564,8.596,1487,nan,nan,4.399,6.019,nan,0.6065,nan,173.9,59.73
131,2,1175,479,37,78,96,763.8,8.286,8.577,1765,nan,nan,6.954,4.388,nan,1.44,nan,173.9,65.7
132,2,1067,368,43,71,71,571.5,7.126,8.564,1321,nan,nan,8.945,5.572,nan,0.4939,nan,158.3,59.73
133,2,1256,1193,59,51,63,501,6.712,8.554,1158,nan,nan,4.847,3.93,nan,0.4201,nan,113.7,47.78
134,2,1509,1683,34,98,98,789.8,8.372,8.552,1825,nan,nan,6.359,10.84,nan,3.314,nan,218.5,71.67
135,2,1239,1213,58,59,76,604.6,7.372,8.545,1397,nan,nan,4.29,4.936,nan,0.2498,nan,131.6,53.76
136,2,1378,1489,22,113,179,1417,11.31,8.543,3274,5.288,0.2158,12.08,3.45,nan,4.781,nan,252,95.57
137,2,1228,1400,40,157,173,1373,11.12,8.543,3174,nan,nan,5.898,9.008,nan,2.165,nan,350.1,95.57
138,2,1151,862,46,122,123,981.1,9.379,8.541,2267,nan,nan,4.706,11.46,nan,0.8541,nan,272,89.59
139,2,1171,1248,53,53,53,426,6.157,8.53,984.5,nan,nan,6.983,5.302,nan,0.4783,nan,118.2,50.77
140,2,745,1541,40,84,84,673.3,7.751,8.504,1556,nan,nan,6.475,9.202,nan,1.552,nan,187.3,62.72
141,2,1319,1269,71,62,62,498.2,6.659,8.504,1151,nan,nan,7.955,5.511,nan,0.6126,nan,138.2,53.76
142,2,1123,470,46,80,80,642.3,7.564,8.495,1484,nan,nan,6.748,8.312,nan,1.559,nan,178.4,59.73
143,2,1110,1468,32,197,218,1711,12.49,8.488,3955,nan,nan,6.429,7.934,nan,1.477,nan,439.3,125.4
144,2,995,910,47,72,72,575.9,7.176,8.479,1331,nan,nan,8.51,5.943,nan,1.834,nan,160.5,56.74
145,2,556,1384,29,84,101,799.6,8.499,8.477,1848,5.23,0.2008,7.172,5.822,nan,0.5827,nan,187.3,62.72
146,2,1583,1648,34,156,156,1240,10.56,8.473,2866,nan,nan,19.5,5.738,nan,51.16,nan,347.8,122.4
147,2,1296,1300,73,116,146,1158,10.22,8.464,2675,nan,nan,5.952,4.931,nan,0.6694,nan,258.6,77.65
148,2,773,1538,43,136,217,1713,12.46,8.454,3958,5.283,0.2135,5.8,8.44,nan,1.661,nan,303.2,89.59
149,2,948,1761,43,78,78,621,7.469,8.446,1435,nan,nan,6.722,8.098,nan,0.4847,nan,173.9,59.73
150,2,1269,1394,42,54,54,430.2,6.214,8.43,994.1,nan,nan,7.003,5.414,nan,1.087,nan,120.4,47.78
151,2,1246,1572,24,52,52,415,6.098,8.427,959.1,nan,nan,5.21,6.995,nan,1.108,nan,115.9,50.77
152,2,761,1540,41,108,108,857.7,8.788,8.405,1982,nan,nan,6.705,11.37,nan,6.013,nan,240.8,77.65
153,2,725,1692,15,86,86,683.5,7.842,8.404,1580,nan,nan,9.161,6.614,nan,1.558,nan,191.8,62.72
